Name of Foreign Business,Address (HO),Address (Main Operating Office),Type of Organization,Type of investment,Date Organized,Type of Business,US Company,American Owner - Address,Owned Through (Allied Foreign Organization),Principal Properties of Foreign Business,Production Data,Organizations Allied with the Foreign Organization,Directors and Officers of the Foreign Organization,Proportionate Interest of Persons other than Reporter,"License Agreements, Franchises, and Contracts",Percent Owned,Total Value of Interest Reported - Cost Per Book of Immediate Parent,Total Value of Interest Reported - Value Per Books of Foreign Organization In Currency Used,Total Value of Interest Reported - Value Per Books of Foreign Organization In USD or Currency of Immediate Parent,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Cost Per Book,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in Currency Used,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in USD or Currency of Immediate Parent,"Property Reported Damaged, Destroyed, or Seized Between Jan 1, 1938 and May 1943", ford report amount ,X/S,Property Reported Damaged,additional notes,type_Partnership,type_branch,type_ownership,type_unknown
Deutsche Schollwerke G.m.b.H.,,,GmbH,ownership,1-Apr-22,,"The Scholl Mfg. Co., Inc.",,NA,,,,,,,100%,"$32,208 ","Rm. 174,933","$70,149 ",None,None,None,,,0.0,"War declared on Germany December 1941 - $70,149.",,False,False,True,False
Deutsche Underwood Elliott Fisher G.m.b.H.,,,GmbH,ownership,NA,,Underwood Elliott Fisher Company,,"Mercedes Buromaschinen Werke A. G. (Zella-Mahlis, Germany)",,,,,,,100%,"Rm. 25,200","Rm. 45,413","$18,210 ","Rm. 1,413,217 deficit","Rm. 1,431,217","$573,918 ",,,0.0,It is believed that the underlying assets have been seized by the German Government,,False,False,True,False
Deutsche Underwood Elliott Fisher G.m.b.H.,,,GmbH,ownership,NA,,Underwood Elliott Fisher Company,,NA,,,,,,,NA,"$325,864 ","Rm. 1,359,632","$545,212 ",None,None,None,,,0.0,NA,,False,False,True,False
"Deutsche Universal Film, A.G.",,,Corporation (Aktiengesellschaft),ownership,4-Mar-30,,"Universal Picture Co., Inc.",,NA,,,,,,,100%,"$486,578 ","Rm. 1,177,809","$472,301 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Deutsche Vacuum Oel A.G.,,,Corporation (Aktiengesellschaft),ownership,"January 27, 1899",,"Socony-Vacuum Oil Company, Inc.",,NA,,,,,,,100%,"$6,148,680 ","Rm. 30,120,804","$12,078,442 ",NA,NA,NA,,,0.0,"As a result of the war, the refinery at Schulau was completely destroyed, and tons of merchandise was destroyed at Hamburg and Schulau.
Above is based on such information as is presently available here and no representation is made that other or later lossed and damage may not have been incurred.",,False,False,True,False
Deutsche Vereinigte Schuhmaschinen Gesellschaft,,,GmbH,ownership,1-Oct-00,,United Shoe Machinery Corporation,,NA,,,,,,,100%,"$1,491,985 ","Rm. 16,798,758","$6,736,302 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Deutsche Worthington Gesellschaft m.b.H.,,,GmbH,ownership,1893,,Worthington Pump and Machinery Corp.,,NA,,,,,,,100%,"$124,803 ","Rm. 470,701","$188,751 ",None,None,None,,,0.0,NA,,False,False,True,False
Dietaphone Co. m.b.H.,,,GmbH,ownership,June 1930,,Dietaphone Corporation,,NA,,,,,,,100%,"$46,054 ","45,520 DR.","$18,253 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Paul Dorff A.G.,,,Corporation (Aktiengesellschaft),ownership,Unknown,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
Dorr Gesellschaft m.b.H.,,,GmbH,ownership,3-Jul-25,,The Dorr Co.,,NA,,,,,,,100%,"$193,247 ","Rm. 123,370","$49,471 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Duco Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,15-Aug-29,,E.I. du Pont de Nemours and Company,,NA,,,,,,,59%,"$393,314 ","Rm. 1,592,886","$638,747 ",None,None,None,,,0.0,NA,,False,False,True,False
Dumont,,,Branch,ownership,Unknown,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Durer Scheifmittel, G.m.b.H.",,,GmbH,ownership,16-May-30,,The Durer Corporation,,NA,,,,,,,100%,"$141,670 ","Rm. 1,466,333","$587,999 ",NA,NA,NA,,,0.0,Property is believed damaged by virtue of newspaper accounts of bombings in plant area.,,False,False,True,False
Ebano Asphalt-Werke Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,7-May-28,,Pan Foreign Corporation,,NA,,,,,,,100%,"$3,250,052 ","Rm. 19,744,934","$7,917,719 ",None,None,None,,,0.0,NA,,False,False,True,False
Eberhard Faber Kommanditgesellschaft,,,Kommanditgesellschaft,ownership,28-Oct-38,,Eberhard Faber Pencil Company,,NA,,,,,,,NA,"$575,301 ","Rm. 3,525.238","$856,359 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Eisenhof G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,Hamburger Hof A.G.,,,,,,,83%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Eisenlager G.m.b.H.,,,GmbH,ownership,NA,,Hugo Stinnes Corporation,,"Eisenhof, G.m.b.H.",,,,,,,80%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Ch. Eitingon, A.G.",,,Corporation (Aktiengesellschaft),ownership,1-Dec-26,,"Eitingon Schild Co., Inc.",,NA,,,,,,,100%,"$537,234 ","$448,615 ","$448,615 ",None,None,None,,,0.0,NA,,False,False,True,False
missing,,,,ownership,,,,,,,,,,,,NA,"$100,445 ","$100,445 ","$100,445 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Elisabeth Arden G.m.b.H.,,,GmbH,ownership,30-Sep-27,,Arden Investing Co.,,"Arden Foundation Co., Ltd.",,,,,,,100%,"$11,864 ","Rm. 783,603","$314,224 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Emas Gesellschaft Fuer Strassenbaubedarf, m.b.H.",,,GmbH,ownership,30-Oct-33,,Pan Foreign Corporation,,Ebano Asphalt Werke Aktiengesellschaft,,,,,,,100%,"Rm. 215,000","Rm. 368,975","$147,959 ","Rm. 19,892","Rm. 19,892","$7,976 ",,,0.0,NA,,False,False,True,False
Emil Frei Art Glass Co.,,,Branch,branch,NA,,Emil Frei Inc.,,NA,,,,,,,NA,NA,NA,NA,"$50,099 ","Rm. 124,934","$50,099 ",,,#VALUE!,NA,,False,True,False,False
Equitable Life Assurance Society of the United States,,,Branch,branch,about 1868,,Equitable Life Assurance Society of the United States,,NA,,,,,,,NA,"$2,109,035 ","Rm. 5,259,438","$2,109,035 ",NA,NA,NA,,,0.0,NA,,False,True,False,False
"Erdolbergbau A.G., Celle",,,Corporation (Aktiengesellschaft),ownership,1-Jan-34,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,100%,"Rm. 3,855,501","Rm. 1,256,041","$503,672 ",NA,NA,NA,,,0.0,"We have no information presently available here as to possible losses and damage caused by the war on ""searched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
Edoel-Bergbau Aktiengesellschaft Celle Norddeutsche Mineraloel Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,NA,,Magdalena Syndicate,,NA,,,,,,,100%,"$2,165,000 ",NA,NA,"$2,713,885 ",NA,NA, NA ,,#VALUE!,Seized and confiscated,,False,False,True,False
Erkensator G.m.b.H.,,,GmbH,ownership,22-Oct-31,,"New England Industries, Inc.",,Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),,,,,,,100%,Uncertainable,"Rm. 20,000","$8,020 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Ethyl Gesellschaft m.b.H.,,,GmbH,ownership,10-Jan-36,,The Forak Company,,"The Associated Ethyl Company Limited (London, England)",,,,,,,50%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
"Europacscje Tanklager und Transport, A.G.",,,Corporation (Aktiengesellschaft),ownership,NA,,"Davis & Company, Incorporated",,"Crusader Petroleum Industries, Ltd. (London, England)",,,,,,,NA,"£ 498,136","Rm. 5,058,744","$2,028,551 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
The Fairbanks G.m.b.H. Company,,,GmbH,ownership,about 1920,,The Fairbanks Company,,"The Fairbanks Company of Europe, Ltd. (London, England)",,,,,,,100%,£ 25,0,$0 ,None,None,None,,,#DIV/0!,NA,,False,False,True,False
Farsals-Gesellschaft m.b.H.,,,GmbH,ownership,NA,,American Cyanamid Company,,NA,,,,,,,40%,"$9,535 ","Rm. 55,465","$22,241 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Ferdinand Schuchhardt Berliner Fernsprech- und Telegraphenwerk Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,July 1921,,International Telephone and Telegraph Corp.,,Standard Elektizitats Gesellschaft A.G.,,,,,,,98%,"Rm. 665,879","Rm. 1,761,208","$706,244 ","Rm. 2,771","Rm. 2,771","$1,111 ",,,0.0,NA,,False,False,True,False
"Finkenheerder Obstwerke Richard Sonnenberg, A.G.",,,Corporation (Aktiengesellschaft),ownership,19-May-22,,Corn Products Refining company,,NA,,,,,,,33%,"$30,000 ","Rm. 251,573","$100,880 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Finkenheerder Obstwerke Richard Sonnenberg, A.G.",,,Corporation (Aktiengesellschaft),ownership,19-May-22,,Corn Products Refining company,,Deutsche Maizena Werke A.G.,,,,,,,67%,"Rm. 578,009","Rm. 799,885","$320,754 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Ford Werke A.G.,,,Corporation (Aktiengesellschaft),ownership,5-Jan-25,,Ford Motor Company,,"Ford Investment Co., Ltd. (London, England)",,,,,,,6%,"£ 63,249","Rm. 2,513,381","$100,410 ",None,None,None,,,0.0,NA,,False,False,True,False
Ford Werke A.G.,,,Corporation (Aktiengesellschaft),ownership,5-Jan-25,,Ford Motor Company,,NA,,,,,,,52%,"$8,097,099 ","Rm. 21,068,957","$8,448,651 ",NA,NA,NA,,,0.0,Properties shown are in enemy territory and any information regarding damage or destruction is not available,,False,False,True,False
Fox Tonende Wochenschau,,,Corporation (Aktiengesellschaft),ownership,15-Nov-30,,Twentieth Century-Fox Film Corp.,,NA,,,,,,,100%,$650 ,"Rm. 65,000","$26,065 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Fraenkischer Metallhandel G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
Fr. Wwe. Wesseling G.m.b.H.,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
"Freidreichstrasse, 12, G.m.b.H.",,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,NA,,,,,,,75%,"$122,429 ","Rm. 517,204","$207,399 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Freidreichstrasse, 12, G.m.b.H.",,,GmbH,ownership,NA,,Hugo Stinnes Corporation,,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,15%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Frigidaire G.m.b.H.,,,GmbH,ownership,16-Sep-26,,General Motors Corporation (Overseas Operations),,Adam Opel Aktiengesellschaft,,,,,,,100%,"Rm. 825,000","Rm. 314,200","$125,994 ",NA,NA,NA,,,0.0,The value shown in Column 3 of Part 12 B do not reflect the possible seisure or confiscation of the property of the subsidiary.,,False,False,True,False
"Fuerstenhof Carlton Hotel, A.G.",,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,NA,,,,,,,80%,"$275,042 ","Rm. 783,392","$314,140 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Fuhr-Betrieb G.m.b.H.,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Fullnerwerk G.m.b.H.,,,GmbH,ownership,November 1934,,"New England Industries, Inc.",,Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),,,,,,,100%,Uncertainable,"Rm. 300,000","$120,300 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Gebrueder Boewen G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Gebrueder Born G.m.b.H.,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Gebrueder Hein G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
Gemeinnutsige Opel - Wohnban - G.m.b.H.,,,GmbH,ownership,1936,,General Motors Corporation (Overseas Operations),,Adam Opel Aktiengesellschaft,,,,,,,90%,"Rm. 90,000","Rm. 90,000","$36,090 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
General Motors G.m.b.H.,,,GmbH,ownership,13-Feb-25,,General Motors Corporation (Overseas Operations),,NA,,,,,,,100%,"$238,096 ","Rm. 1,373,300","$550,593 ","$8,532 ","Rm. 23,700","$9,504 ",,,0.0,"The values shown in Column 3 of Part 12 B do not reflect the possible seisure or confiscation of the property of the subsidiary, but the entire invetment in the subsidiary on the reporter's books has been written off as a war loss prior to May 31, 1943 and subsequent to the date used in Part C.",,False,False,True,False
Gewerkschaft Alfred,,,Gewerkschaft,ownership,27-Aug-37,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,100%,Nominal,NA,NA,NA,NA,NA,,,#VALUE!,"We have no information presently available here as to possible losses and damage caused by the war on ""scorched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
Gewerkschaft Ave 5,,,Gewerkschaft,ownership,5-May-32,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,60%,Nominal,NA,NA,NA,NA,NA,,,#VALUE!,"We have no information presently available here as to possible losses and damage caused by the war on ""searched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
Gewerkschaft Brigitta,,,Gewerkschaft,Partnership,11-Jul-21,,Jadev Corporation,,NA,,,,,,,NA,"$1,825,287 ","Rm. 6,587,680","$2,641,659 ",None,None,None,,,0.0,NA,,True,False,False,False
Gewerkschaft Carolus Magnus,,,Gewerkschaft,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,25%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Gewerkschaft Carlsburg III,,,Gewerkschaft,ownership,5-Aug-36,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,50%,Nominal,NA,NA,NA,NA,NA,,,#VALUE!,"We have no information presently available here as to possible losses and damage caused by the war on ""searched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
Gewerkschaft Diergardt-Mevissen,,,Gewerkschaft,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Gewerkschaft Konberg II,,,Gewerkschaft,ownership,6-Jun-34,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,60%,Nominal,NA,NA,NA,NA,NA,,,#VALUE!,"We have no information presently available here as to possible losses and damage caused by the war on ""scorched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
Gew. Lintorfer Erzbergwerke,,,Gewerkschaft,ownership,NA,,Hugo Stinnes Corporation,,NA,,,,,,,90%,$1 ,Rm. 4,$2 ,NA,NA,NA,,,0.0,NA,,False,False,True,False
Gew. Lintorfer Erzbergwerke,,,Gewerkschaft,ownership,NA,,Hugo Stinnes Corporation,,Hamburger Hof A.G.,,,,,,,10%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Gewerkschaft Mathias Stinnes,,,Gewerkschaft,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,55%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Gewerkschaft Ostfeld 1,,,Gewerkschaft,ownership,10-Dec-34,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,60%,Nominal,NA,NA,NA,NA,NA,,,#VALUE!,"We have no information presently available here as to possible losses and damage caused by the war on ""searched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
Gew. Selbecker Bergwerks Verein,,,Gewerkschaft,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,NA,,,,,,,20%,"$16,810 ","Rm. 41,920","$16,810 ",,,,,,0.0,NA,,False,False,True,False
Gew. Selbecker Bergwerks Verein,,,Gewerkschaft,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,80%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Gesellschaft fur Industriebeteiligungen m.b.H.,,,GmbH,ownership,NA,,Corn Products Refining company,,NA,,,,,,,100%,"$2,406,613 ","Rm. 18,440,161","$7,394,515 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Gesellschaft fur markt und schgerechte Werberatung,,,GmbH,ownership,NA,,"Mccann-Erickson, Inc.",,"H. K. Mccann Company, m.b.H.",,,,,,,100%,"Rm. 153,000.00","Rm. 238,376.98","$95,589 ",None,None,None,,,0.0,NA,,False,False,True,False
Gesellschaft Fur Telephon-und Telegraphenbeteilungen m.b.H.,,,GmbH,ownership,17-May-30,,International Telephone and Telegraph Corp.,,NA,,,,,,,100%,"$181,908 ","Rm. 470,866","$188,817 ",None,None,None,,,0.0,NA,,False,False,True,False
"Gillette Safety Rasor Company, G.m.b.H.",,,GmbH,ownership,20-Mar-08,,Gillette Safety Rasor Company,,NA,,,,,,,100%,"$61,238 ","Rm. 648,069","$259,876 ",None,None,None,,,0.0,"No information since October, 1941.",,False,False,True,False
Glaswerke Ruhr A.G.,,,Corporation (Aktiengesellschaft),ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"""Gluckauf"" Deutsche Oel Gesellschaft Hersfeld & Co., G.m.b.H.",,,GmbH,ownership,16-Nov-09,,Standard Oil Company (New Jersey),,Deutsch-Amerikanische Petroleum-Gesellschaft,,,,,,,100%,"$292,336 ","Rm. 321,218","$128,808 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Gluckskles Import and Export Gesellschaft m.b.H.,,,GmbH,ownership,7-Dec-27,,International Finance Company,,NA,,,,,,,55%,"$2,622 ","Rm. 19,405","$7,782 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Gluckskles Michgesellschaft m.b.H.,,,GmbH,ownership,19-Nov-25,,International Finance Company,,NA,,,,,,,100%,"$95,262 ","Rm. 4,587,894","$1,839,745 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Godecke & Co. Chemische Fabrik A.G.,,,Corporation (Aktiengesellschaft),ownership,29-Nov-22,,"William R. Warner & Co., Inc.",,NA,,,,,,,NA,"$5,810 ","Rm. 14,489","$5,810 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Godecke & Co. Chemische Fabrik A.G.,,,Corporation (Aktiengesellschaft),ownership,29-Nov-22,,International Affiliated Corporation,,NA,,,,,,,50%,"$120,889 ","Rm. 696,000","$279,096 ",NA,NA,NA,,,0.0,"Journal Entry of December 1941: 
Worthless Stock $ 120,885. $120,885
Investment in Afflilated Company
To write off the investment as a war loss",,False,False,True,False
Godecke & Co. Chemische Fabrik und Export A.G.,,,Corporation (Aktiengesellschaft),ownership,19-Sep-23,,"William R. Warner & Co., Inc.",,NA,,,,,,,NA,"$1,672 ","Rm. 4,170","$1,672 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Godecke & Co. Chemische Fabrik und Export A.G.,,,Corporation (Aktiengesellschaft),ownership,19-Sep-23,,International Affiliated Corporation,,NA,,,,,,,50%,"$506,498 ","Rm. 358,694","$143,836 ","$5,252 ","Rm. 8,384","$3,361 ",,,0.0,"Journal Entry of December 1941: 
Worthless Stock $ 506,498.
Investment in Afflilated Company $506,498
To write off the investment as a war loss",,False,False,True,False
Great American Insurance Co. - Home Insurance Co. - Hartford Fire Insurance Co.,,,Branch,branch,1923,,American Foreign Insurance Association,,NA,,,,,,,NA,"$34,066 ","Rm. 85,167.48","$34,152 ",None,None,None,,,0.0,"Inasmuch as Germany declared war on U.S. in December 1941, it is believed our assets have been seized but no details are available. No revaluation has been made on our books.",,False,True,False,False
"The Guardian Life Insurance Company of America, European Branch, German Business",,,Branch,branch,1868,,The Guardian Life Insurance Company of America,,NA,,,,,,,NA,"$190,883 ","Rm. 327,208","$131,210 ",NA,NA,NA,,,0.0,NA,,False,True,False,False
E. Gundlach A.G.,,,Corporation (Aktiengesellschaft),ownership,31-May-00,,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,29%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Hamburg-Amerikanische Mineralol-G.m.b.H.,,,GmbH,ownership,9-Apr-25,,Tide Water Associated Oil Co.,,NA,,,,,,,100%,"$498,759 ","Rm. 5,294,498","$1,521,094 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Hamburger Hof A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,NA,,,,,,,100%,"$1,110,952 ","Rm. 4,666,000","$1,871,066 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
B.K.S. Handelsgesellschaft m.b.H.,,,GmbH,ownership,1933,,The Yale & Towne Manufacturing Company,,NA,,,,,,,100%,"$1,220 ","Rm. 5,125","$2,055 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Hanseatische Grundbitz Gesellschaft m.b.H.,,,GmbH,ownership,13-Nov-20,,Swift and Company (Illinois),,NA,,,,,,,100%,"$138,905 ","Rm. 1,560,552","$625,781 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Haskins & Sells Revision-Gesellschaft m.b.H.,,,GmbH,ownership,16-Dec-30,,Haskins & Sells,,NA,,,,,,,100%,"$14,927 ","Rm. 17,337","$105,525 ","$6,952 ","Rm. 17,337","$6,952 ",,,0.0,"Whatever property was in Berlin on December 7, 1941 was undoutedly taken over by the Germany Government. We have no information as to what happened to it. This Company ceased business on May 1, 1940.",,False,False,True,False
H. W. Heidman,,,Branch,branch,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,True,False,False
A. S. Hinds A.G.,,,Corporation (Aktiengesellschaft),ownership,1926,,Lehn & Pink Products Corporation,,NA,,,,,,,100%,"$5,930 ","Rm. 25,000","$10,025 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"G. Hirsch & Sohn, G.m.b.H. Nuremberg, Germany",,,GmbH,ownership,5-Apr-05,,"G. Hirsch Sons, Inc.",,NA,,,,,,,NA,"$8,889 ","Rm. 99,275","$39,810 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Hobart Maschinen Gesellschaft, m.b.H.",,,GmbH,ownership,8-Aug-30,,The Hobart Manufacturing Company,,NA,,,,,,,100%,"$66,830 ","Rm. 47,737.89","$19,143 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Hoffman Bugelmaschinen Gesellschaft m.b.H.,,,GmbH,ownership,September 1925,,United States Hoffman Machinery Corporation,,NA,,,,,,,100%,"$170,717 ","Rm. 978,446","$392,356 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Holm & Molzen G.m.b.H.,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,50%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Holzwarth Gasturbinen,,,GmbH,ownership,21-Sep-27,,Schilling Estate Company,,NA,,,,,,,85%,"$1,115,563 ","Rm. 2,781,952","$1,115,563 ",NA,NA,NA,,,0.0,"Holzwarth Gasturbinen G.m.b.H. is located near Mulheim-Ruhr, Germany, and due to the war no communications have been received as to whether or not the Company is in existence and operating.",,False,False,True,False
Hoover G.m.b.H.,,,GmbH,ownership,1925,,The Hoover Co.,,NA,,,,,,,100%,"$178,995 ","Rm. 101,116","$40,547 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Hotel Atlantic A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,NA,,,,,,,82%,"$369,228 ","Rm. 1,388,753","$556,890 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Hotel Atlantic A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,19%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Houghton Deutsche Fabrik K.G.,,,Kommanditgesellschaft,Partnership,May 1937,,E. F. Houghton & Company,,NA,,,,,,,NA,"$103,648 ","Rm. 600,000","$240,600 ",NA,NA,NA,,,0.0,NA,,True,False,False,False
Richard Hudnut G.m.b.H.,,,GmbH,ownership,6-Dec-29,,International Affiliated Corporation,,NA,,,,,,,100%,"$59,712 ","Rm. 502,448","$201,481 ",NA,NA,NA,,,0.0,"Journal Entry of December 1941: 
Worthless Stock $ 59,712.
Investment in Afflilated Company $59,712
To write off the investment as a war loss",,False,False,True,False
