page,text,column,US company name,US Company,affiliated German firm name,Master German firm name,section,notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,Gemini_firm_name,Gemini_german_subsidiary,Gemini_notes
1163,"Other subsidiaries are located in Mexico, Argentine, Cuba, Bradl, Germany, Belgium, Uruguay and Chfla.",center,BURROUGHS ADDING MACHINE COMPANY,Burroughs Adding Machine Company,,,Subsidiaries,"Other subsidiaries are located in Mexico, Argentine, Cuba, Brazil, Germany, Belgium, Uruguay and Chile.",True,False,False,False,False,False,False,False,Burroughs Adding Machine Company,"Not explicitly named, but subsidiaries are located in Germany.","Incorporated in Michigan on January 16, 1905, succeeding American Arithmometer Co. (incorporated January 20, 1886). The company manufactures adding, listing, bookkeeping, billing, calculating machines, and typewriters, holding patents for adding devices. It acquired Universal Adding Machine Co. (1908), Pike Adding Machine Co. (1909), and Moon-Hopkins Billing Machine Co. (1921). Its main plant is in Detroit, Mich., covering 10.75 acres with 894,895 sq. ft. and an annual capacity of 150,000 machines. Service departments operate in approximately 160 U.S. cities and foreign countries. The company controls several subsidiaries including Burroughs Adding Machine Co. of Missouri, Burroughs Machines, Ltd. (Windsor, Ont.), Burroughs Adding Machine of Canada, Ltd., Burroughs Adding Machine, Ltd. (London, Eng.), and Société Anonyme Burroughs (Paris, France). Other subsidiaries are located in Mexico, Argentina, Cuba, Brazil, Uruguay, Chile, and Germany."
1204,company against the German Government filed with the Mixed. Claims ComndasioiL zBegbig that Germany used com­,center,ELECTRIC BOAT COMPANY,Electric Boat Company,,,Government Claim Settlement,"Government Claim Settlement: On Mar. 12, 1929, company recieved payment of its claims against the U. S. Government, in accordance with decision of Court of Claims of December, 1928, amounting to $8,674,584. The claim of the company against the German Government filed with the Mixed. Claims Commission, alleging that Germany used company’s patents on submarines was decided in its favor and the company wu awarded about $250,000 damages.",False,False,False,False,False,False,False,False,ELECTRIC BOAT COMPANY,None explicitly named.,"The company had a claim against the German Government, filed with the Mixed Claims Commission, alleging that Germany used the company's patents on submarines. This claim was decided in the company's favor, and it was awarded approximately $250,000 in damages."
1318,"Italy, Germany and",left,SIGNODE STEEL STRAPPING CO.,Signode Steel Strapping Co.,,,Description,"Has subsidiaries in Belgium, Canada, England, Italy, Germany and Holland. Products are mar trade name ""Signode"". ",True,False,False,False,False,False,False,False,SIGNODE STEEL STRAPPING CO.,"Has subsidiaries in Germany, but no specific names are listed.","Incorporated in Delaware, December 17, 1928, succeeding Consolidated Steel Strapping Co. Business established in 1916. Manufactures and sells a complete system of patented tools, machines, seals, steel strapping and round wire for reinforcing and sealing packages, bales and boxes. Products are marketed under trade name ""Signode"". Plant located at Chicago consists of a modern four-story fireproof building. Number of employees, Dec. 31, 1931, 225. Has subsidiaries in Belgium, Canada, England, Italy, Germany and Holland."
1442,"Mannheim, Germany ",left,CHICAGO PNEUMATIC TOOL COMPANY,Chicago Pneumatic Tool Co.,"Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany",Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),Description,"""In Dec., 1925, company acquired from Motoran Werke, American and Canadian manufacturing and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany."" ""Subsidiaries: Canadian Pneumatic Tool Co., Ltd., Montreal, Canada; Chicago Pneumatic Tool Co. of Masa; Consolidated Pneumatic Tool Co., Ltd. London, Eng.; Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany; Pneumatic Tool Realty Corp., New York City; Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany.""",True,False,False,True,False,False,False,False,Chicago Pneumatic Tool Co.,"Consolidated Internationale Pressluft & Elektrizitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.), Berlin-Britz, Germany; Pressluft-Werke Berlin, Oberschöneweide, Germany","Acquired Geo. Oldham & Son Co. in April 1926, and properties of Franklin Mfg. Co. in July 1926. Total employees as of Dec. 31, 1931, about 1,600. Financial reporting for 1931 includes Consolidated Pneumatic Tool Co. Ltd. and 'Chicago Pneumatic' Societe Anonyme for year ended Nov. 30, 1931; 1930 includes operations of those two subsidiaries for year ended Nov. 30, 1930 and all other foreign subsidiaries for eleven months ended Nov. 30, 1930. 1929 and 1930 figures are based on preferred, other years on common. 1931 balance sheet includes Consolidated Pneumatic Tool Co. Ltd. and 'Chicago Pneumatic' Societe Anonyme as of Nov. 30, 1931. Contingent Liability as of Dec. 31, 1931, was $161,862 on acceptances discounted by foreign subsidiaries. Bonded Debt: Sinking fund debenture gold 5 1/2s authorized at $5,000,000, outstanding $2,513,000, retired $487,000 by Dec. 31, 1931. Dated Oct. 1, 1927, due Oct. 1, 1942. Callable on 45 days' notice at 102% to Oct. 1, 1936, then 1/2% less each three-year period. Sinking fund requires $100,000 annually starting July 1, 1928. Indenture restricts creation of mortgages on fixed properties without securing this issue equally and prohibits common stock dividends if net current assets fall below 125% of debentures outstanding. Capital Stock: $2.50 cum. convertible preference shares authorized 188,000, outstanding 178,800, reacquired 9,200; no par. Entitled to $65 per share plus dividends in liquidation and has equal voting power with common. Tax Status: Pennsylvania 4 mills tax refunded; company pays normal income tax up to 2%. Listed on New York Curb Exchange."
1442,"Mannheim, Germany ",left,CHICAGO PNEUMATIC TOOL COMPANY,Chicago Pneumatic Tool Co.,"Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany.",,Description,"""In Dec., 1925, company acquired from Motoran Werke, American and Canadian manufacturing and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany."" ""Subsidiaries: Canadian Pneumatic Tool Co., Ltd., Montreal, Canada; Chicago Pneumatic Tool Co. of Masa; Consolidated Pneumatic Tool Co., Ltd. London, Eng.; Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany; Pneumatic Tool Realty Corp., New York City; Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany.""",True,False,True,False,False,False,False,False,Chicago Pneumatic Tool Co.,"Consolidated Internationale Pressluft & Elektrizitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.), Berlin-Britz, Germany; Pressluft-Werke Berlin, Oberschöneweide, Germany","Acquired Geo. Oldham & Son Co. in April 1926, and properties of Franklin Mfg. Co. in July 1926. Total employees as of Dec. 31, 1931, about 1,600. Financial reporting for 1931 includes Consolidated Pneumatic Tool Co. Ltd. and 'Chicago Pneumatic' Societe Anonyme for year ended Nov. 30, 1931; 1930 includes operations of those two subsidiaries for year ended Nov. 30, 1930 and all other foreign subsidiaries for eleven months ended Nov. 30, 1930. 1929 and 1930 figures are based on preferred, other years on common. 1931 balance sheet includes Consolidated Pneumatic Tool Co. Ltd. and 'Chicago Pneumatic' Societe Anonyme as of Nov. 30, 1931. Contingent Liability as of Dec. 31, 1931, was $161,862 on acceptances discounted by foreign subsidiaries. Bonded Debt: Sinking fund debenture gold 5 1/2s authorized at $5,000,000, outstanding $2,513,000, retired $487,000 by Dec. 31, 1931. Dated Oct. 1, 1927, due Oct. 1, 1942. Callable on 45 days' notice at 102% to Oct. 1, 1936, then 1/2% less each three-year period. Sinking fund requires $100,000 annually starting July 1, 1928. Indenture restricts creation of mortgages on fixed properties without securing this issue equally and prohibits common stock dividends if net current assets fall below 125% of debentures outstanding. Capital Stock: $2.50 cum. convertible preference shares authorized 188,000, outstanding 178,800, reacquired 9,200; no par. Entitled to $65 per share plus dividends in liquidation and has equal voting power with common. Tax Status: Pennsylvania 4 mills tax refunded; company pays normal income tax up to 2%. Listed on New York Curb Exchange."
1525,"Peterborough, Ont.; Saskatoon, Baric., and Eisen, Germany, manufacturing various cereal food products, the best known ",center,THE QUAKER OATS COMPANY,Quaker Oats Co.,,,Subsidiaries,"""Mills are located at Akron, Ohio: Cedar Bapids, la.; St. Joseph, Mo.; Memphis, Tenn.; Depew, N. Y.; Tecumseh, Mich.; Peterborough, Ont.; Saskatoon, Baric., and Eisen, Germany, manufacturing various cereal food products, the best known bring ""Quaker Oats.""",False,False,False,False,False,True,False,False,THE QUAKER OATS COMPANY,"No specific German subsidiary names are mentioned, but manufacturing mills are located in Elsen, Germany.","Incorporated under the laws of New Jersey, September 21, 1901. On August 26, 1906, the properties of the American Cereal Co. were transferred to the Quaker Oats Co. Mills are located in various US and Canadian cities, and Elsen, Germany, manufacturing various cereal products, including 'Quaker Oats.' The company's business is milling, selling, and handling cereals. It owns the entire capital stock of Quaker Oats, Ltd. (distributing agent for Great) and properties of Aunt Jemima Mills Co. Acquired Muffets Corp. in Oct. 1927 and Ota Co., Copenhagen, Denmark in Feb. 1930."
1550,"dertake the manufacture and sale fa Germany of pyroxylin finishes, faduding DUM, and of Ventube, a rubbsr-cortri ",center,E. I. DU PONT DE NEMOURS & COMPANY,E.I. du Pont de Nemours and Company,,,Description,"During 1929, company also joined In the formation of two new German companies to undertake the manufacture and sale in Germany of pyroxylin finishes, including Duco, and of Ventube, a rubber-coated fabric tubing used for mine ventilation and in tunnel construction work.",False,False,False,False,False,False,False,True,E. I. Du Pont de Nemours & Company,Two unnamed companies formed in 1929 for the manufacture and sale of pyroxylin finishes and Ventube in Germany.,"E. I. du Pont de Nemours & Company was incorporated in Delaware in 1915, succeeding E. I. du Pont de Nemours Powder Company (NJ, 1903) to consolidate various explosive manufactories. Its original business was explosives, dating back to 1902. The firm diversified into products like paint, rayon, dyestuffs, ethyl alcohol, and cellophane. Key acquisitions include General Explosives Co. (1924), Excelsior Powder Manufacturing Co. (1927), and the dyestuffs and organic chemical properties/business of The Newport Co. (1931). The company also merged Grasselli Chemical's explosives business with its own and acquired a minority interest in Du Pont National Ammonia Co., Inc. (1928). A significant part of its history involves a substantial investment in General Motors Corp. starting in 1918, managed through various holding companies like du Pont American Industries, Inc., and Managers Securities Company, involving complex stock transactions and restructurings."
1567,"m Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. In Dec., 1921, the company acquired the ",center,INTERNATIONAL BUSINESS MACHINES CORPORATION,International Business Machine Corp.,"Optima-Maschinenfabrik, A.-G.",,Subsidiaries,"Factory in Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. ",True,False,True,False,False,False,False,False,INTERNATIONAL BUSINESS MACHINES CORPORATION,"Deutsche Hollerith Maschinen Gesellschaft, m.b.H., Deutsche Geschaftsmaschinen Gesellschaft, m.b.H., Optima-Maschinenfabrik, A.-G.","Incorporated under the laws of the State of New York, June 15, 1911 as the Computing-Tabulating-Recording Co., consolidating Computing Scale Co. of America, Tabulating Machine Co., International Time Recording Co. of N. Y. and Bundy Manufacturing Co. The company acquires and holds stocks of other corporations which manufacture, sell, or lease various kinds of business machines and related supplies. Plants are located in Dayton, O.; Endicott, N. Y.; Washington, and Endicott, N. Y. A factory in Sindelfingen, Germany, began production in 1924. In Dec., 1921, the company acquired the manufacture of a machine used in connection with piece work rates in factories. In Mar., 1923, the Pierce Accounting Machine Co. was merged. Selling agencies are maintained in all principal cities of the world. The company employs about 6,700 people. On Mar. 26, 1932, Attorney General William D. Mitchell filed suit in the Federal District Court for the Southern District of New York against the International Business Machines Corp. and Remington Rand, Inc., charging violations of the Sherman and Clayton Anti-trust Acts. The petition alleged that the defendants are the sole manufacturers of tabulating equipment in the U.S., have agreed on minimum rentals, agreed not to sell machines outright but only to lease or rent them, required customers to purchase tabulating cards only from them, and cross-licensed patents to eliminate competition and monopolize commerce in tabulating machines."
1567,"m Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. In Dec., 1921, the company acquired the ",center,INTERNATIONAL BUSINESS MACHINES CORPORATION,International Business Machine Corp.,"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.","Deutsche Hollerith Maschinen Gesellschaft, m.b.H.",Subsidiaries,"Factory in Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. ",True,False,False,True,False,False,False,False,INTERNATIONAL BUSINESS MACHINES CORPORATION,"Deutsche Hollerith Maschinen Gesellschaft, m.b.H., Deutsche Geschaftsmaschinen Gesellschaft, m.b.H., Optima-Maschinenfabrik, A.-G.","Incorporated under the laws of the State of New York, June 15, 1911 as the Computing-Tabulating-Recording Co., consolidating Computing Scale Co. of America, Tabulating Machine Co., International Time Recording Co. of N. Y. and Bundy Manufacturing Co. The company acquires and holds stocks of other corporations which manufacture, sell, or lease various kinds of business machines and related supplies. Plants are located in Dayton, O.; Endicott, N. Y.; Washington, and Endicott, N. Y. A factory in Sindelfingen, Germany, began production in 1924. In Dec., 1921, the company acquired the manufacture of a machine used in connection with piece work rates in factories. In Mar., 1923, the Pierce Accounting Machine Co. was merged. Selling agencies are maintained in all principal cities of the world. The company employs about 6,700 people. On Mar. 26, 1932, Attorney General William D. Mitchell filed suit in the Federal District Court for the Southern District of New York against the International Business Machines Corp. and Remington Rand, Inc., charging violations of the Sherman and Clayton Anti-trust Acts. The petition alleged that the defendants are the sole manufacturers of tabulating equipment in the U.S., have agreed on minimum rentals, agreed not to sell machines outright but only to lease or rent them, required customers to purchase tabulating cards only from them, and cross-licensed patents to eliminate competition and monopolize commerce in tabulating machines."
1567,"m Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. In Dec., 1921, the company acquired the ",center,INTERNATIONAL BUSINESS MACHINES CORPORATION,International Business Machine Corp.,"Deutsche Geschaftmaschinen Gesellschaft, m.b.H.","Deutsche Geschaftmaschinen Gesellschaft, m.b.H.",Subsidiaries,"Factory in Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. ",True,False,False,True,False,False,False,False,INTERNATIONAL BUSINESS MACHINES CORPORATION,"Deutsche Hollerith Maschinen Gesellschaft, m.b.H., Deutsche Geschaftsmaschinen Gesellschaft, m.b.H., Optima-Maschinenfabrik, A.-G.","Incorporated under the laws of the State of New York, June 15, 1911 as the Computing-Tabulating-Recording Co., consolidating Computing Scale Co. of America, Tabulating Machine Co., International Time Recording Co. of N. Y. and Bundy Manufacturing Co. The company acquires and holds stocks of other corporations which manufacture, sell, or lease various kinds of business machines and related supplies. Plants are located in Dayton, O.; Endicott, N. Y.; Washington, and Endicott, N. Y. A factory in Sindelfingen, Germany, began production in 1924. In Dec., 1921, the company acquired the manufacture of a machine used in connection with piece work rates in factories. In Mar., 1923, the Pierce Accounting Machine Co. was merged. Selling agencies are maintained in all principal cities of the world. The company employs about 6,700 people. On Mar. 26, 1932, Attorney General William D. Mitchell filed suit in the Federal District Court for the Southern District of New York against the International Business Machines Corp. and Remington Rand, Inc., charging violations of the Sherman and Clayton Anti-trust Acts. The petition alleged that the defendants are the sole manufacturers of tabulating equipment in the U.S., have agreed on minimum rentals, agreed not to sell machines outright but only to lease or rent them, required customers to purchase tabulating cards only from them, and cross-licensed patents to eliminate competition and monopolize commerce in tabulating machines."
1597,ths export burinesa of the company in Germany. ,left,JULIUS KAYSER & COMPANY,Julius Kayser & Company,"Kayser Textile-Gesellschaft, m. b. H. in Saxony","Kayser Textile-Gesellschaft, m. b. H. in Saxony",Description,"In Sept, 1922, the company formed the Kayser Textile-Gesellschaft, m. b. H. in Saxony, to handle the export business of the company in Germany.",True,False,False,True,False,False,False,False,JULIUS KAYSER & COMPANY,"Kaynar Textil-Gesellschaft, m. b. H. and Sterling Silk Glove Co.","In September 1929, the company formed the Kaynar Textil-Gesellschaft, m. b. H. in Saxony, to handle the export business in Germany. The company also owns the entire $200,000 capital stock of Sterling Silk Glove Co., which is a German company."
1605,"Germany, and Paria, France.",left,COLGATE-PALMOLIVE-PEET COMPANY,Colgate-Palmolive-Peet Co.,,,Description,"Through its subsidiaries the company also owns plants at Toronto, Can., Mexico City, Mex., Sydney, Australia, Havana, Cuba, London, Eng., Hamburg, Germany, and Paris, France.
Subsidiaries: The company has organized a number of foreign subsidiaries: in two of these (Colgate-Palmolive-Peet, S. A., and Crusellaa y Campania, B. A , both of Cuba) it owns 61% of the capital stock, while the others are wholly owned. The subsidiaries in Canada Mexico, Cuba, Australia, Paris and Hamburg own and operate factories where most of the principal items of the Palmolive and Colgate lines of toilet soap and toilet preparations are made; some are also made by an English subsidiary and a limited amount of manufacturing is done by agencies of the company in South America. Certain of the company’s products are made for it on contract in many foreign countries.",True,False,False,False,False,False,False,False,COLGATE-PALMOLIVE-PEET COMPANY,"Palmolive, Binder & Ketels","† Based on 1,934,976 preferred and 1,999,861 common shares. ‡ Includes 89,090 profits from properties prior to date of acquisition. * Includes minority interest in 1,999,861 common companies which were not consolidated in prior years."
1609,"holm, Germany, an M *  Interest in that ",left,GENERAL MOTORS CORPORATION,General Motors Corporation (Overseas Operations),Adam Opel A.G.,,Acquisitions,"""On Mar. 18, 1929, It was announced that General Moton Corp., had become associated with Adam Opel A.G. of Rüsselsheim, Germany, an 80% interest in that company having being taken at a cost of about $26,000,000. In 1931 the minority interest was acquired. The Opel Co. manufactures the Opel automobile, production consisting of about 40% of cars produced In Germany, and numerous other products.""",True,False,True,False,False,False,False,False,GENERAL MOTORS CORPORATION,Adam Opel A.G.,"General Motors Corp. became associated with Adam Opel A.G. of Rüsselsheim, Germany, on March 18, 1931, by acquiring an 80% interest at a cost of approximately $36,000,000. The remaining minority interest was acquired in 1931. The Opel Co. manufactures Opel automobiles, accounting for about 40% of cars produced in Germany, along with numerous other products."
1613,"mnnmas. Vauxhall automobiles ana trucks manufactured in Etagland, and Opel automobiles manufactured in Germany. ",center,GENERAL MOTORS ACCEPTANCE CORPORATION,General Motors Acceptance Corporation,Continental and Allgemeine Finanzierungs-G. m. b. H.,Allgemeine Finanzierungs Gesellschaft m.b.H.,Description,"Incorporated ... to provide credit facilities exclusively for General Motors Corporation distributors and dealers and purchasers of General Motors products, a service with contemplates financing overseas and domestic wholesales and retail sales of products which include ... General Aviation aircraft and G. M. radios; also GMC trucks In Canada and overseas, Vauxhall automobiles and trucks manufactured in England, and Opel automobiles manufactured in Germany. ... Owns entire capital stock of General Exchange Insurance Corp, (see Moody’s Bank and financeManual) and General Moton Acceptance Corp, of DeL, General Moton Acceptance Corp., Mexico, General Moton Acceptance Corp, of Indiana, Inc., General Motors Acceptance Corp., South America, General Moton Acceptance Corp., Continental and Allgemeine Finanzierungs-G. m. b. H. On Dec. 31, 1931, company and subsidiaries operated 106 branch offices in the principal cities in the United States and abroad with a total personnel of 4,787.",True,False,False,True,False,False,False,False,GENERAL MOTORS ACCEPTANCE CORPORATION,Continental and Allgemeine Finanzierungs-G. m. b. H.,"Incorporated on January 29, 1919, under the banking law of the State of New York. Its primary purpose is to provide credit facilities for General Motors Corporation distributors, dealers, and purchasers of General Motors products, financing both wholesale and retail sales. The products include various car brands (Buick, Cadillac, Chevrolet, etc.), Delco Appliance Corp. products, Frigidaire automatic refrigerators, General Aviation aircraft, and GMC trucks. The company operates domestically and overseas, including export financing transactions. It acquires promissory notes from distributors and dealers and purchases obligations from retail buyers. As of December 31, 1931, the company operated in principal cities in the United States and abroad with a total personnel of 4,787. It owns the entire capital stock of several entities, including General Exchange Insurance Manual, General Motors Acceptance Corp. of Del., General Motors Acceptance Corp. of Indiana, Inc., and General Motors Acceptance Corp. South America."
1651,Chemische Werke Odin (Germany) ,right,EASTMAN KODAK COMPANY,Eastman Kodak Company,Chemische Werke Odin (Germany),Chemische Werke Odin (Germany),Subsidiaries,"Company and subsidiaries own fifteen manufacturing plants located in the United States, Canada, England, France, Germany, Hungary and Australia.",True,False,False,True,False,False,False,False,EASTMAN KODAK COMPANY,"Chemische Werke Odin (Germany), Kodak Aktiengesellschaft (Germany)","Incorporated under New Jersey laws on October 24, 1901, succeeding earlier entities like The Eastman Dry Plate Co. and Eastman Kodak Co. (of New York). At its inception, it acquired the entire stock of several corporations, including Kodak Gesellschaft m. b. H. of Berlin. The company and its subsidiaries own fifteen manufacturing plants located in the United States, Canada, England, France, Germany (Copenick and Stuttgart), Hungary, and Australia. It also owns a number of small operating cameras and photographic materials and supplies. In 1928, the company formed Recordak Corp. to manufacture machines for photographing checks to protect banks, and Eastman Teaching Films, Inc. to develop motion picture programs in schools. Eastman Kodak Co. controls Tennessee Eastman Corp., formed in 1923, for large-scale output of wood distillation products. As of December 31, 1931, Eastman Kodak Co. owned or controlled companies operating 251 establishments in 174 cities of 53 countries. The total number of employees on January 1, 1932, was 21,100."
1651,Chemische Werke Odin (Germany) ,right,EASTMAN KODAK COMPANY,Eastman Kodak Company,Kodak Aktiengesellschaft (Germany) ,,Subsidiaries,"Company and subsidiaries own fifteen manufacturing plants located in the United States, Canada, England, France, Germany, Hungary and Australia.",True,False,True,False,False,False,False,False,EASTMAN KODAK COMPANY,"Chemische Werke Odin (Germany), Kodak Aktiengesellschaft (Germany)","Incorporated under New Jersey laws on October 24, 1901, succeeding earlier entities like The Eastman Dry Plate Co. and Eastman Kodak Co. (of New York). At its inception, it acquired the entire stock of several corporations, including Kodak Gesellschaft m. b. H. of Berlin. The company and its subsidiaries own fifteen manufacturing plants located in the United States, Canada, England, France, Germany (Copenick and Stuttgart), Hungary, and Australia. It also owns a number of small operating cameras and photographic materials and supplies. In 1928, the company formed Recordak Corp. to manufacture machines for photographing checks to protect banks, and Eastman Teaching Films, Inc. to develop motion picture programs in schools. Eastman Kodak Co. controls Tennessee Eastman Corp., formed in 1923, for large-scale output of wood distillation products. As of December 31, 1931, Eastman Kodak Co. owned or controlled companies operating 251 establishments in 174 cities of 53 countries. The total number of employees on January 1, 1932, was 21,100."
1702,"Margvnthaler SetemastidnanThbrik GJDJXH. of Germany. Linotype A Machinery. Ltd., h u  a  plant at Broadneaih, near ",center,MERGENTHALER LINOTYPE COMPANY,Mergenthaler Linotype Company,Margenthaler Setzmaschinen Fabrik G.m.b.H. of Germany,"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.",Description,"In 1909 acquired a controlling interest in Linotype & Machinery, Ltd., and in the Margenthaler Setzmaschinen Fabrik G.m.b.H. of Germany. Linotype & Machinery. Ltd., has a plant at Broadheath, near Manchester, England, where it manufactures printing machinery, linotypes and parts.",True,False,False,True,False,False,False,False,Mergenthaler Linotype Company,Mergenthaler Setzmaschinen-Fabrik G.m.b.H. of Germany,"Incorporated December 16, 1895, as successor to Mergenthaler Linotype Co. of N. J. In 1905, the company purchased patents and interests of Monoline Composing Co. for the United States, Canada, Mexico, and Australasia, and the Canadian Composing Co., Ltd. In 1909, it acquired a controlling interest in Linotype & Machinery, Ltd. and Mergenthaler Setzmaschinen-Fabrik G.m.b.H. of Germany. Linotype & Machinery, Ltd. has a plant in Broadheath, England, and Canadian Linotype, Ltd. sells from Toronto."
1717,",  G. m. b. H , Velbert, Germany; Farmington River Power Co., Rainbow, Conn. ",center,THE STANLEY WORKS,The Stanley Works,"Stanley Work, G. m. b. H., Velbert, Germany",The Stanley Works G.m.b.H.,Description,"Owns and operates the Stanley Works of Canada, Ltd., and Stanley Steel Cov Ltd., at Hamilton, Ont., Canada, and the Stanley Tool Co, Ltd., Roxton Fond, Quebec, Canada; Stanley Chemical Co., Berlin, Conn.; Eagle Square Mfg. Co., South Shaftabury, Vt.; Stahley, Bic., Pulaski, Tenn.; Stanley Work, G. m. b. H., Velbert, Germany; Farmington River Power Co., Rainbow, Conn. ",True,False,False,True,False,False,False,False,THE STANLEY WORKS,"Work, G. m. b. H., Velbert, Germany","Incorporated under Connecticut laws in Aug. 1852 as successor to the business founded by Frederick T. Stanley in 1843. The firm manufactures steel hinges, butts, wrought hardware tools, portable and semi-portable electric tools, cold rolled strip steel, box strapping, and special steel strappings. Main works are in New Britain, Conn., with rolling mills in Bridgeport, Conn., and branch factories in Niles, Ohio; Newark, N. J.; Plantsville, Conn.; and South Shaftsbury, Vt. It owns and operates subsidiaries including Stanley Steel Co., Ltd. (Hamilton, Ont., Canada), Stanley Tool Co., Ltd. (Roxton Pond, Quebec, Canada), Stanley Chemical Co. (Berlin, Conn.), Eagle Square Mfg. Co. (South Shaftsbury, Vt.), Farmington River Power Co., Rainbow, and Stanley Rule & Level Co. On June 2, 1926, it acquired property of American Tube & Stamping Co. at Bridgeport, Conn. During 1929, it acquired E. L. Carter Co. (Phoenix, N. Y.), Ajak Hammer Corp., and New Grove Mfg. Corp. (Cincinnati), with equipment and stock moved to New Britain, Conn. In Nov., 1930, Stanley Electric Tool Co. was organized to handle electric tool sales. Selling offices are located in New York, Chicago, San Francisco, Los Angeles, Philadelphia, and Cleveland. Number of employees as of Dec. 31, 1930, was about 4,500."
1729,"m.hA, Berlin. Germany. The company owns and operates ",left,ROYAL BAKING POWDER COMPANY (Controlled by Standard Brands Inc.},Royal Baking Powder Company,"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.","Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.",Description,"Company controls through 100% ownership, Wright, Crossley & Co., Ltd. (and its subsidiary Aintree Co., Ltd.), Liverpool, Eng.; Alliance Food Product, Ltd., London, Eng.; Royal Baking Powder (Proprietory), Ltd., Cape Town, South Africa, and Deutsche Royal Backputver, Gesellachaft m.b.H., Berlin. Germany.",True,False,False,True,False,False,False,False,ROYAL BAKING POWDER COMPANY,"Deutsche Royal Backpulver Gesellschaft m.b.H., Berlin, Germany","Incorporated Mar. 1, 1899, in New Jersey, consolidating with Cleveland Baking Powder Co., Price Baking Powder Co., Tartar Chemical Co., and New York Tartar Co. Manufactures baking powder, gelatin desserts, and other products. Controls Wright, Crossley & Co., Ltd., Alliance Food Products, Ltd., and Royal Baking Powder (Proprietary), Ltd. Operates plants in Brooklyn, Chicago, Liverpool, and Cape Town. As of Aug. 31, 1929, became affiliated with Standard Brands Inc. through control of majority stock, with stock exchange offered to shareholders. Management, directors, auditors, annual meeting details, and office address are provided."
1732,"Spain; Hijos de H. A, Bender, of San Failli, Spahi; H, A. Bender Bohne, of Mannheim, Germany; Korkfebrik, Franken, ",center,"CROWN CORK INTERNATIONAL CORPORATION (Controlled by Crown, Cork & Seal Co., Inc.)",Crown Cork International Corporation,"H. A. Bender Bohne, of Mannheim, Germany","H. A. Bender Bohne, of Mannheim, Germany",Description,"Corporation owns directly or through subsidiaries a controlling interest in following companies: Crown Cork Co., Ltd., of Southall, Eng.,  which owns a branch plant at Rio de Janeiro, Brazil; Wallis Crown Cork Co., Ltd of London, Eng.; Crown Cork & Seal Co. Ltd., of Toronto, Can.; Fulham Crown Cork Works (1928) Ltd., of London, Eng.: Corchera Internadonal. of Sevills, Spain; Hijos de H. A, Bender, of San Failli, Spain; H, A. Bender Bohne, of Mannheim, Germany; Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany; Société du Bouchon Couronne, of Paris, France.",True,False,False,True,False,False,False,False,CROWN CORK INTERNATIONAL CORPORATION,"Hijos de H. A. Bender Sohne, of Mannheim; Korkfabrik, Frankenthal","Incorporated in Delaware Sept. 6, 1928 as a holding company to acquire and develop companies engaged in the bottle crown business and other branches of the cork industry outside of United States. Corporation owns directly or through subsidiaries a controlling interest in following companies: Crown Cork Co., Ltd., of Southall, Eng.; Crown Cork Co., Ltd. of Rio de Janeiro, Brasil; Wallia Crown Cork Co. (1928) Ltd., of London, Eng.; Crown Cork & Seal Co., Ltd., of Toronto, Can.; Fulham Crown Cork Works (1928) Ltd., of London, Eng.; Corchera Internacional, of Sevilla, Spain; Hijos de H. A. Bender Sohne, of Mannheim, Germany; Korkfabrik, Frankenthal, Germany; Societe du Bouchon Couronne, of Paris, France. Combined capacity of plants totals 24,000,000 gross of natural cork discs per annum. Crown Sales, years ended Dec. 31, 1931 (gross): 1931, 16,544,724; 1930, 18,248,199; 1929, 20,570,224; 1928, 13,921,288."
