,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,Name of Foreign Business,moodys32 affiliated German firm name,moodys32 notes,moodys32 mentions a subsidiary,moodys32 mentions stock ownership,moodys32 subsidiary is AG,moodys32 mentions an affilated company,moodys32 mentions a plant/office/branch,moodys32 is a subsidiary of a German firm,moodys32 other types of agreement,moodys34 affiliated German firm name,moodys34 reviewed_notes,moodys34 mentions a subsidiary,moodys34 mentions stock ownership,moodys34 subsidiary is AG,moodys34 mentions an affilated company,moodys34 mentions a plant/office/branch,moodys34 is a subsidiary of a German firm,moodys34 other types of agreement,tenenbaum affiliated German firm name,tenenbaum notes,tenenbaum mentions a subsidiary,tenenbaum mentions stock ownership,tenenbaum subsidiary is AG,tenenbaum mentions an affilated company,tenenbaum mentions a plant/office/branch,tenenbaum is a subsidiary of a German firm,tenenbaum other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
65,Edward G. Budd Manufacturing Company,True,False,False,True,False,False,"['A. B. P. Gefolgschoftsheime, G.m.b.H.', 'Ambi-Budd Presswerk, G.m.b.H.']",,,,,,,,,,,,,,,,,,,Ambi -Budd Presswerk G.m.b.H. ,"The EDWARD G BUDD MFG . CO . owns 84.293 % of the Budd International Corporation , which owns 64.29 % of the Ambi -Budd Presswerk G.m.b.H. , capital , 5,500,000 RM ., while 1.67 % of the stock of this last is owned directly by the parent Edward G. Budd Mfg. Co. The Ambi A. G. holds most of the rest of the stock of Ambi-Budd Presswerk G.m.b.H.",True,False,False,False,False,False,False,,
66,"Eitingon Schild Co., Inc.",True,False,True,False,True,True,"['Ch. Eitingon, A.G.', 'Kurt Wachtel, A.G.']",,,,,,,,,,"Ch. Eitingon & Co., Leipzig; Kurt Wachtel A. G., Taucha, Leipzig","The following were the operating subsidiaries of the corporation as of Dec. 31, 1933 (showing direction of control)",True,False,True,False,False,False,False,,,,,,,,,,['Ch. Eitingon Aktiengesellschaft'],['Ch. Eitingon Aktiengesellschaft.']
67,Eitington-Schild Co. Inc.,False,True,False,False,False,False,,"Ch. Eitingon, AG. (Leipzig,Germany); Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)","The following are subsidiaries: ... Ch. Eitingon, AG. (Leipzig,Germany), ..., Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany),Kruskal A Kruskal, Inc. (New York), EitingtSchud Fur Corp. (New York) ...",True,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,
68,Electric Boat Company,False,True,False,False,False,False,,NA,"Government Claim Settlement: On Mar. 12, 1929, company recieved payment of its claims against the U. S. Government, in accordance with decision of Court of Claims of December, 1928, amounting to $8,674,584. The claim of the company against the German Government filed with the Mixed. Claims Commission, alleging that Germany used company’s patents on submarines was decided in its favor and the company wu awarded about $250,000 damages.",False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
69,Emil Frei Inc.,True,False,False,False,False,False,['Emil Frei Art Glass Co.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Emil Winter interests of Pittsburgh,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Oesterreische Magnesit A. G.,"The EMIL WINTER interests Pittsburgh own the Oesterreische Magnesit capital 14,000,000 Schillings.",True,False,False,False,False,False,False,,
71,Enziger Union Corp.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,The ENZIGER UNION WERKE A. G.,"The ENZIGER UNION WERKE A. G., producing brewery equipment and general machinery, is represented in America by subsidiary Enziger Union Corp. capital 100,000",False,False,False,False,False,True,False,,
72,Equitable Life Assurance Society of the United States,True,False,False,False,False,False,['Equitable Life Assurance Society of the United States'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Eugene Dietzgen Co.,True,False,False,False,False,False,"['Bayerische Reisseugfabrik A.G.', 'Siegfried-Caragen Gesellschaft fuer Kraftfahrzeuge, m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,F. W. Woolworth Co.,True,True,True,True,False,False,"['F. W. Woolworth Co.', 'F. W. Woolworth Co.']","F. W. Woolworth Co., G.m.b.H., Berlin, Germany","Owns entire stock of ..., and controls F. W. Woolworth Co., G.m.b.H., Berlin, Germany,... On Dec. 31, 1931, controlled 1,908 stores in the United States, Canada and Cuba, with more than 85,000 employees and 428 stores in Great Britain and 60 in Germany.",True,False,False,False,False,False,False,"F. W. Woolworth Co. G. m. b. H., Berlin, Germany",... controls F. W. Woolworth Co. G. m. b. H.,True,False,False,False,False,False,False,F. W. Woolworth Co. G.m.b.H.,"The F. W. WOOLWORTH Co. owns outright the F. W. Woolworth Co. G.m.b.H. , capital 23,609.000 RM. There are at present 82 Wool- worth stores in Germany. In the past five years, the capital of F. W. Woolworth G.m.b.H. has been increased from 7.500.000 RM to 33.- 000,000 RM , largely as a result of the impossibility of withdrawing profits from Germany. The profit in 1938 was $2,030,000 ; in 1937 $1,750,000 .",True,False,False,False,False,False,False,,
75,Felt & Tarrant Mfg. Co.,True,False,False,False,False,False,['Comptometer G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Fisk Rubber Co.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Fisk Tyre Co. m.b.H.,"The FISK RUBBER Co. owns the Fisk Tyre Co , m.b.H. , capital 100,000 RM.",True,False,False,False,False,False,False,,
77,Ford Motor Company,True,True,True,True,True,True,"['Ford Werke A.G.', 'Ford Werke A.G.']",NA,"The text states that a subsidiary was established in Germany, with a plant located in Cologne, Germany. However, it does not give the specific legal name of the German subsidiary on this page.",True,False,False,False,False,False,False,NA,"There are associated companies with manufacturing plants at Easr Windsor, Canada; Dagenham, England and Cologne, Germany.",True,False,False,True,True,False,False,Ford Motor Co. A. G.; Credit A. G. für Fordfahrzeuge,,True,False,True,False,True,False,False,['Ford Motor Company Aktiengesellschaft'],['Ford Motor Company Aktiengesellschaft. ']
78,"Foreign Investments, Incorporated",True,False,False,False,False,False,['Stanley Works'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Fownes Brothers & Co., Inc.",False,False,True,False,False,False,,,,,,,,,,,NA,German factory appears in the balance sheet,False,False,False,False,True,False,False,,,,,,,,,,,
80,"G. Hirsch Sons, Inc.",True,False,False,False,False,False,"['G. Hirsch & Sohn, G.m.b.H. Nuremberg, Germany']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,General American Tank Car Corp ,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Allgemeine Transportmittel Finanzierungs AG'],['Allgemeine Transportmittel Aktiengesellschaft.']
82,General American Transportation Corporation,False,False,True,True,False,False,,,,,,,,,,,Allgemeine Transportmittel Aktiengesellschaft,"Under section Subsidiaries: ""Operating in continental Europe refridgerator, tank and all classes of railway cars.""",True,False,True,False,False,False,False,Allgemeine Transportmittel Finanzierungs A.G.,"The GENERAL AMERICAN TRANSPORTATION CORPORATION owns almost half of the Allgemeine Transportmittel Finanzierungs A. G. (4,000,000 RM ) . Max Epstein , Chairman of the Board of Directors of the General American Transportation Corporation , also sits on the Board of the German firm .",True,False,False,False,False,False,False,,
83,General Motors Acceptance Corporation,True,True,True,False,False,False,['Allgemeine Finanzierungs Gesellschaft m.b.H.'],Continental and Allgemeine Finanzierungs-G. m. b. H.,"Incorporated ... to provide credit facilities exclusively for General Motors Corporation distributors and dealers and purchasers of General Motors products, a service with contemplates financing overseas and domestic wholesales and retail sales of products which include ... General Aviation aircraft and G. M. radios; also GMC trucks In Canada and overseas, Vauxhall automobiles and trucks manufactured in England, and Opel automobiles manufactured in Germany. ... Owns entire capital stock of General Exchange Insurance Corp, (see Moody’s Bank and financeManual) and General Moton Acceptance Corp, of DeL, General Moton Acceptance Corp., Mexico, General Moton Acceptance Corp, of Indiana, Inc., General Motors Acceptance Corp., South America, General Moton Acceptance Corp., Continental and Allgemeine Finanzierungs-G. m. b. H. On Dec. 31, 1931, company and subsidiaries operated 106 branch offices in the principal cities in the United States and abroad with a total personnel of 4,787.",True,False,False,False,False,False,False,Continental Allgemeine Finanzierungs-Gesellschaft m. b. H.,"Owns entire capital stock, except directors' qualifying shares, of General Exchange Insurance Corp. and General Motors Acceptance Corp. of Del., ..., Continental Allgemeine Finanzierungs G.m.b.H., ...",True,False,False,False,False,False,False,,,,,,,,,,,
84,General Motors Corporation (Overseas Operations),True,True,True,True,True,True,"['Adam Opel Aktiengsellschaft', 'Frigidaire G.m.b.H.', 'Gemeinnutsige Opel - Wohnban - G.m.b.H.', 'General Motors G.m.b.H.', 'Opel Automobil Versicherungs A.G.']",Adam Opel A.G.,"""On Mar. 18, 1929, It was announced that General Moton Corp., had become associated with Adam Opel A.G. of Rüsselsheim, Germany, an 80% interest in that company having being taken at a cost of about $26,000,000. In 1931 the minority interest was acquired. The Opel Co. manufactures the Opel automobile, production consisting of about 40% of cars produced In Germany, and numerous other products.""",True,False,True,False,False,False,False,Adam Opel A.G.,"Under section ""Overseas Operations Group"": ""Adam Open AG. is responsible for the manufacture and distribution of Opel products in Germany. Vauxhall Motors, Ltd. is responsible for the manufacture and distribution of Vauxhall products to the British Isles. The Export Division is responsible for the distribution of all of the Corporation's products, from whatever source, in all other overseas territories."" ""Adam Opel, A.G. Rüsselheim, Germany. Manufacture and distribution in Germany of Opel motor cars and Blitz trucks; plant at Rüsselheim.""",True,False,True,False,False,False,False,Adam Opel A.G.; Opel Automobilversicherungs A.G. ; Continentale Gummiwerke A.G. ; Frigidaire G.m.b.H.,,True,True,True,False,False,False,False,"['Adam Opel Aktiengesellschaft', 'Eduard Winter Akt.-Ges. für Kraftfahrzeuge']",['Adam Opel Aktiengesellschaft.']
85,German-American Tobacco Co.,False,False,True,False,False,False,,,,,,,,,,,NA,"German-American Tobacco Co. was incorporated May 20, 1931, under laws of Delaware for the manufacture and sale of cigarettes and tobacco products in Germany. ",False,False,False,False,False,False,False,,,,,,,,,,,
86,Gillette Safety Rasor Company,True,False,False,True,False,False,"['Gillette Safety Rasor Company, G.m.b.H.', 'Metallwarenvertrieb G.m.b.H.', 'Roth-Buchner, G.m.b.H.', 'Zoellner Werke G.m.b.H.']",,,,,,,,,,,,,,,,,,,Roth Buchner G.m.b.H.; Gillette Safety Razor Co. G.m.b.H.,"The GILLETTE SAFETY RAZOR Co. owns 67 % of the Roth Buchner G.m.b.H., capital 2,860,000 RM., and also owns the Gillette Safety Razor Co. Gm.b.H.",True,False,False,False,False,False,False,,
87,Globe Steel Tubes Company,False,False,True,False,False,False,,,,,,,,,,,None,No subsidiary in German,False,False,False,False,False,False,False,,,,,,,,,,,
88,Guardian Life Insurance Co. of America,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Zukunft Lebensversicherungsbank Aktiengesellschaft.']
89,Gulf Oil Corporation,True,True,True,False,False,False,['Maschinenoel Import Gesellschaft m.b.H.'],Nobel-Good-Group,"Nobel-Good-Andre Groups: In 1928 Gulf Oil Corp. of Penn. acquired for $2,800,000 in cash and 17,601 shares of stock a 75% interest in marketing companies in Europe, in which it originally had a 25% interest. These companies are known as the Nobel-Good-Group and operate in England, France, Belgium, Germany, Holland and the Scandinavian countries; principally dealing in distribution and sale of lubricating.",True,False,False,False,False,False,False,NA,"Foreign Marketing Group: Gulf Oil Corp. controls through approximately 90% stock ownership of several English, Dutch, and Belgium companies, known as ""S. A. L. C. Group"" a large marketing organization and business, dealing principally in lubricating fuel and gas oils in England, Belgium, Holland, Germany, Scandinavia, Switzerland, Italy and Spain.",False,False,False,False,False,False,False,,,,,,,,,,,
90,"Harris, Forbes & Co.",False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Berliner Kraft- und Licht-Aktiengesellschaft'],"['Berliner Kraft- und Licht-Aktiengesellschaft.', 'Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.', 'Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG).']"
91,Haskins & Sells,True,False,False,False,False,False,['Haskins & Sells Revision-Gesellschaft m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Hazeltine Corp.,False,False,True,False,False,False,,,,,,,,,,,D. S. Loewe Radio A.G. of Berlin (Germany) ,"While no German subsidiaries are explicitly mentioned, Hazeltine Corp. has patent agreements in Europe, including a 1933 contract with D. S. Loewe Radio A.G. of Berlin (Germany) as its representative for Continental Europe, backed by Telefunken Co. (Germany). Austrian patents are managed by Philips Gloeilampenfabriken (Dutch), which remits German Reichsmarks.",False,False,False,False,False,False,True,,,,,,,,,,,
93,Heyden Chemical Corp.,False,True,True,False,False,False,,NA,"""Company has exclusive right in United States and Canada, of all patents, trade names, and processes of Chemische Fabrik Von Heyden of Germany""",False,False,False,False,False,False,True,Chemische Fabrik Von Heyden of Germany,"Company has exclusive right in United States and Canada, of all patents, and processes of Chemische Fabril Von Heyden of Germany. -> It's a licensee of the German company",False,False,False,False,False,False,True,,,,,,,,,,,
94,"Heyden Chemical Corporation, New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,"The Chemische Fabrik von Heyden, A. G., Radebeul bei Dresden","The New York subsidiary has exclusive patent, process, and trade name rights for the United States.",False,False,False,False,False,True,False,,
95,Hobart Manufacturing Co.,False,True,True,False,False,False,,"Hobart Gesellschaft, Hamburg, Germany","""Other subsidiaries include Compagnie Internationale Hobart, Paris, France, manufacturing plant, and Hobart Gesellschaft, Hamburg, Germany. """,True,False,False,False,False,False,False,"Hobart Gesellschaft, Hamburg, Germany","Other subsidiaries include....Hobart Gesellschaft, Hamburg, Germany.",True,False,False,False,False,False,False,,,,,,,,,,,
96,Hudson Motor Car Company,True,False,False,False,False,False,"['Hudson Esser Motors Company M.H.', 'Frederick Wirth & Company G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Hugo Stinnes Corporation,True,True,True,True,False,False,"['Eisenlager G.m.b.H.', 'Freidreichstrasse, 12, G.m.b.H.', 'Fuerstenhof Carlton Hotel, A.G.', 'Gew. Lintorfer Erzbergwerke', 'Gew. Lintorfer Erzbergwerke', 'Hamburger Hof A.G.', 'Hotel Atlantic A.G.', 'Hotel Atlantic A.G.', 'Industrie lackwerke A.G.', 'Rudolf Mueller & Soehne G.m.b.H.', 'Nassauer Hof A.G. (Hotel Nassau)', '(Hotel Nassau) Nassauer Hof A.G.', 'Norddeutsche Oelmuehlenwerke A.G.', 'Rastatter Eisenhandel G.m.b.H.']",NA,"Substantially all of the properties are located in Germany, with exception of certain coal terminal and distributing faculties in Holland, Belgium, Denmark, Sweden and Italy and timber lands in Sweden.",True,False,False,False,True,False,False,NA,Substantially all of its properties and controlled mining interests are located in Germany.,True,False,False,False,True,False,False,,,False,False,False,False,False,False,False,,
98,"Hugo Stinnes Industries, Inc.",True,True,True,True,False,False,"['Anker Kohlen & Brikettwerke G.m.b.H.', 'Artus Hanse Transport G.m.b.H.', 'Bernauer & Co.', 'Bernhoeft & Wilde', 'H. B. Blumenthal', 'Born, Mehring & Co, G.m.b.H.', 'Cehapon Werk G.m.b.H.', 'Paul Dorff A.G.', 'Dumont', 'Eisenhof G.m.b.H.', 'Fraenkischer Metallhandel G.m.b.H.', 'Fr. Wwe. Wesseling G.m.b.H.', 'Freidreichstrasse, 12, G.m.b.H.', 'Fuhr-Betrieb G.m.b.H.', 'Gebrueder Boewen G.m.b.H.', 'Gebrueder Born G.m.b.H.', 'Gebrueder Hein G.m.b.H.', 'Gewerkschaft Carolus Magnus', 'Gewerkschaft Diergardt-Mevissen', 'Gewerkschaft Mathias Stinnes', 'Gew. Selbecker Bergwerks Verein', 'Gew. Selbecker Bergwerks Verein', 'Glaswerke Ruhr A.G.', 'H. W. Heidman', 'Holm & Molzen G.m.b.H.', 'Hugo Stinnes G.m.b.H.', 'Hugo Stinnes G.m.b.H.', 'Hugo Stinnes Reederei A.G.', 'Hugo Stinnes Reederei A.G.', 'Ivers & Company', 'Jacob Trefz & Soehne', 'Kaehler', 'Kohlen Import & Poseidon A.G.', 'Kohlen Import & Poseidon A.G.', 'Kohleverkauf Ludwig Jung G.m.b.H.', 'Koenigsberger Kohlen & Koks G.m.b.H.', 'Kristall Glaswerk A.G.', 'Mathias Stinnes G.m.b.H.', 'Johann Lorenz Michel G.m.b.H.', 'Midgard Deutsche See Verkehrs A.G.', 'Midgard Deutsche Seeverkehrs A.G.', 'Muelberger & Co. G.m.b.H.', 'Muelheimer Bergwerks Verein A.G.', 'Nuernberger Kohlenhandles G.m.b.H.', 'Oberrheinische Kohlenvertretung', 'Piehl & Pehling', 'M. Rast & Sohn G.m.b.H.', 'Suedwest A.G.', 'Vereinigte Berliner Kohlenhandel A.G.', 'Welheim Kohlenhandel G.m.b.H.', 'H. Westphal & Co.']",Hugo Stinnes G. m. b. H.; Rheinische-Westfaelische Bergwerks Gesellschaft,,True,False,False,False,True,False,False,Hugo Stinnes G. m. b. H.; Gewerkschaft Mathias Stinnes,"Hugo Stinnes Industries, Inc. is controlled by Hugo Stinnes Corp. and was incorporated in Maryland on Oct. 24, 1928. Its purpose is to own or control stocks representing all of the coal and coal products holdings and other interests owned by Hugo Stinnes Corp. The company owns 55% of Mathias Stinnes Mining Corp. (Gewerkschaft Mathias Stinnes) and the entire capital stock of Hugo Stinnes, Ltd. (Hugo Stinnes G. m. b. H.). It also holds other stocks of companies primarily engaged in mining, transportation, and distribution of fuel and fuel products. Mathias Stinnes Mining Corp. operates mines at Karnap, near Essen, and Muelheim, with an annual mining capacity of over 5,700,000 short tons of coal and significant reserves. Together with its subsidiaries, the firm holds a 46% interest in Rheinische-Westfaelische Bergwerks Gesellschaft, which owns the Ruhr coal reserve. They are also involved in the production of by-products such as gas, electric power, tar oils, ammonium sulphate, glass products, and brick. Hugo Stinnes, Ltd. is an international coal dealer with extensive storage facilities and operations in various ports including Hamburg-Harburg, Muelheim, Stettin, Koenigsberg, Nordhausen, and Duisburg in Germany, among others globally.",True,False,False,False,False,False,False,Hugo Stinnes G.m.b.H.; Gewerkschaft Mathias Stinnes; Mühlheimer Bergwerksverein; Rheinisch -Westfälische Bergwerksgesellschaft m.b.H. ,,True,True,False,False,False,False,False,,
99,I. B. Kleinert Rubbert Company,True,True,True,False,False,False,"['Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung']",I. B. Kleinert Rubber Co. G.m.b.H.,"Foreign plants located in London, Paris, Hambubrg and Toronto... In 1930 purchased Hanseatische Rubber Co. of Hamburg, Germany and changed name to I. B. Kleinert Rubber Co., G. m. b. H. In 1981 disposed of Interest in Masonia Rubber Works of Hamburg, Germany.",True,False,False,False,False,False,False,I. B. Kleinert Rubber Co. G. m. b. H. (formerly Hanseatische Rubber Co. of Hambaurg),"In description: ""In 1930 purchased Hanseatische Rubber Co. of Hamburg, Germany, and changed name to I. B. Kleinert Rubber Co., G.m.b.H.""",True,False,False,False,False,False,False,,,,,,,,,,,
100,International Affiliated Corporation,True,False,False,False,False,False,"['Godecke & Co. Chemische Fabrik A.G.', 'Godecke & Co. Chemische Fabrik und Export A.G.', 'Richard Hudnut G.m.b.H.', 'Lohse, Gustave A.G.', 'W. R. Warner & Co. G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,International Agricultural Corporation,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Kaliwerke Sollstedt Gewerkschaft,The INTERNATIONAL AGRICULTURAL CORPORATION owned until 1938 half the shares of the Kaliwerke Sollstedt Gewerkschaft. In that year the American concern sold holdings and invested the proceeds various potash companies listed on the German Bourse,True,False,False,False,False,False,False,,
102,International Business Machine Corp.,True,True,False,True,False,False,"['Deutsche Hollerith Maschinen Gesellschaft, m.b.H.']","Optima-MaschinenfabrIk, A.-G.; Deutsche Hollerith Maschinen Gesellschaft, m.b.H.; Deutsche Geschaftmaschinen Gesellschaft, m.b.H.","Factory in Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. ",True,False,True,False,False,False,False,,,,,,,,,,NA,The INTERNATIONAL BUSINESS MACHINES CORPORATION owns a large factory in Germany .,False,False,False,False,True,False,False,,
103,International Combustion Engineering Corporation,False,True,False,False,False,False,,Kohlenscheidungs-Gesellchaft (Germany),"""Company's works are located at Monongahela, Pa.; East Chicago, hid.; Chicago, DI.; St Louis, Mo.; Phoenixville, Pa.; Newark, N. J.; Dover, Ohio; Chattanooga, Tenn.; Fairmont, W. Va.; Derby, Eng., and Boubaix, France. Affiliated companies in England, Germany, France, Belgium and Holland."" ""International Combustion Engineering Corp. also controls Coal Oil Extraction, Ltd, and owns entire capital stock of N. V. Carbo-Union Industrie Maatschappij (Holland), which holds, in turn, the entire capital stock of Kohlenscheidungs-Gesellchaft (Germany), In Mar, 1982, International Combustion Tar & Chemical Corp., a farmer subsidiary, was sold.""",True,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,
104,International Finance Company,True,False,False,False,False,False,"['Gluckskles Import and Export Gesellschaft m.b.H.', 'Gluckskles Michgesellschaft m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,International General Electric Company Inc.,True,True,True,True,True,True,['Osram G.m.b.H. Kommanditgesellschaft'],"Allgemeine Elektricitäts Gesellschaft, Berlin, Germany (35%); Osram G.m.b.H. Kommanditgesellschaft","Osram G.m.b.H. Kommanditgesellschaft. Berlin, Ger. (16 2/3%)",False,True,False,False,False,False,False,Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.), It is mentioned: Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.),False,False,False,False,False,False,False,Allgemeine Elektrizitäts Gesellschaft; Osram; Siemens & Halske; Julius Pintsch A. G.,"The main holding in Germany is about 25-30 %_of_the_Allge- meine Elektrizitäts Gesellschaft (capital 120,000,000 RM ) , the larg- est German electrical concern. It is believed however , that since the financial reorganization of the AEG during the depression the participating interest of General Electric has considerably increased. Through the German AEG, the General Electric has acquired indirect control over a very large number of German concerns in diversified fields of insdurty and communication. The International General Electric Company holds 20% of the stock of the great Dutch electrical firm, N. V. Philips, which has important holdings in Germany.; In 1930 the International General Electric Company bought a major share of a flotation of 35,000 nonvoting participating debentures of Siemens & Halske; International General Electric has patent exchange contracts with Siemens and Halske and with Julius Pintsch A. G.",True,True,True,False,False,False,True,"['Allgemeine Elektricitäts-Gesellschaft', 'Kohlenveredlung und Schwelwerke Aktiengesellschaft']",['Allgemeine Elektricitäts-Gesellschaft.']
106,International General Electric Company Inc.,True,True,True,True,True,True,['Osram G.m.b.H. Kommanditgesellschaft'],"Allgemeine Elektricitäts Gesellschaft, Berlin, Germany (35%); Osram G.m.b.H. Kommanditgesellschaft","Osram G.m.b.H. Kommanditgesellschaft. Berlin, Ger. (16 2/3%)",False,True,False,False,False,False,False,"Siemens & Halske, A.G.","""It was reported that General Electric Co. had taken the greater part of a $14,000,000 issue of participating debentures of Siemens & Halske, A.G., offered by Dillon Read & Co.""",False,True,False,False,False,False,False,Allgemeine Elektrizitäts Gesellschaft; Osram; Siemens & Halske; Julius Pintsch A. G.,"The main holding in Germany is about 25-30 %_of_the_Allge- meine Elektrizitäts Gesellschaft (capital 120,000,000 RM ) , the larg- est German electrical concern. It is believed however , that since the financial reorganization of the AEG during the depression the participating interest of General Electric has considerably increased. Through the German AEG, the General Electric has acquired indirect control over a very large number of German concerns in diversified fields of insdurty and communication. The International General Electric Company holds 20% of the stock of the great Dutch electrical firm, N. V. Philips, which has important holdings in Germany.; In 1930 the International General Electric Company bought a major share of a flotation of 35,000 nonvoting participating debentures of Siemens & Halske; International General Electric has patent exchange contracts with Siemens and Halske and with Julius Pintsch A. G.",True,True,True,False,False,False,True,"['Allgemeine Elektricitäts-Gesellschaft', 'Kohlenveredlung und Schwelwerke Aktiengesellschaft']",['Allgemeine Elektricitäts-Gesellschaft.']
107,International General Electric Company Inc.,True,True,True,True,True,True,['Osram G.m.b.H. Kommanditgesellschaft'],"Allgemeine Elektricitäts Gesellschaft, Berlin, Germany (35%); Osram G.m.b.H. Kommanditgesellschaft","Osram G.m.b.H. Kommanditgesellschaft. Berlin, Ger. (16 2/3%)",False,True,False,False,False,False,False,"Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany","Under section ""Affiliated Manufacturing Companies"": Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany",False,False,False,True,True,False,False,Allgemeine Elektrizitäts Gesellschaft; Osram; Siemens & Halske; Julius Pintsch A. G.,"The main holding in Germany is about 25-30 %_of_the_Allge- meine Elektrizitäts Gesellschaft (capital 120,000,000 RM ) , the larg- est German electrical concern. It is believed however , that since the financial reorganization of the AEG during the depression the participating interest of General Electric has considerably increased. Through the German AEG, the General Electric has acquired indirect control over a very large number of German concerns in diversified fields of insdurty and communication. The International General Electric Company holds 20% of the stock of the great Dutch electrical firm, N. V. Philips, which has important holdings in Germany.; In 1930 the International General Electric Company bought a major share of a flotation of 35,000 nonvoting participating debentures of Siemens & Halske; International General Electric has patent exchange contracts with Siemens and Halske and with Julius Pintsch A. G.",True,True,True,False,False,False,True,"['Allgemeine Elektricitäts-Gesellschaft', 'Kohlenveredlung und Schwelwerke Aktiengesellschaft']",['Allgemeine Elektricitäts-Gesellschaft.']
108,International General Electric Company Inc.,True,True,True,True,True,True,['Osram G.m.b.H. Kommanditgesellschaft'],Siemens & Halske Aktiengesellschaft,"Notes: In 1930 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,400,000 par value sold in the United States. According to the company's annual report (1930), while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial.",False,True,False,False,False,False,False,Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.), It is mentioned: Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.),False,False,False,False,False,False,False,Allgemeine Elektrizitäts Gesellschaft; Osram; Siemens & Halske; Julius Pintsch A. G.,"The main holding in Germany is about 25-30 %_of_the_Allge- meine Elektrizitäts Gesellschaft (capital 120,000,000 RM ) , the larg- est German electrical concern. It is believed however , that since the financial reorganization of the AEG during the depression the participating interest of General Electric has considerably increased. Through the German AEG, the General Electric has acquired indirect control over a very large number of German concerns in diversified fields of insdurty and communication. The International General Electric Company holds 20% of the stock of the great Dutch electrical firm, N. V. Philips, which has important holdings in Germany.; In 1930 the International General Electric Company bought a major share of a flotation of 35,000 nonvoting participating debentures of Siemens & Halske; International General Electric has patent exchange contracts with Siemens and Halske and with Julius Pintsch A. G.",True,True,True,False,False,False,True,"['Allgemeine Elektricitäts-Gesellschaft', 'Kohlenveredlung und Schwelwerke Aktiengesellschaft']",['Allgemeine Elektricitäts-Gesellschaft.']
