German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Description
"Deutsche Norton-Gesellschaft, m.b.H.",Norton Company,USO,GmbH,NORTON CO.,"Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany","Vol 1, p. 857","Incorporated under Massachusetts laws June 20, 1885, as the Norton Emery Wheel Co. The Norton Company is a subsidiary, was merged July 1, 1913. Manufacturers of artificial abrasives, known by trade names ""Alundum"" and ""Crystolon""—grinding machinery and wheels, lapping machinery, oil stones, sharpening stones, refractories, non-slip flooring and other articles made of artificial abrasives. Main plant located at Worcester, Mass., on a 400-acre tract, consisting of 30 principal buildings; factory floor space, 31 acres; railroad track owned connecting various buildings, 5 miles; plant is equipped with many kilns for burning wheels, extensive crushing mills, machine shops, power equipment, storage space for 1,500,000 completed wheels. Also owns extensive deposits of raw materials at Bauxite, Ark., where ore is mined; furnaces located at Chippawa, Ont. In April, 1930, company sold its Niagara Falls plant and transferred operation to its plant in Chippawa, Ont. In Dec., 1927, purchased business of Bethel-Player & Co., Inc. (manufacturers of lapping machinery), and moved industry to Worcester, Mass. In July, 1931, acquired Behr Manning Corp. (Mass.) successor to Behr Manning Corp. (N. Y.), manufacturer of abrasive cloth and paper, with a plant at Troy, N. Y. In July, 1932, purchased entire capital stock of Pike Mfg. Co. (N. H.) and transferred all assets to Norton Pike Co. (Mass.), wholly owned subsidiary (capital stock, $500,000), which manufactures sharpening stones. Stock transferred and registered at company's office."
Chemische Fabrik Von Heyden of Germany,Heyden Chemical Corp.,USC,Others,HEYDEN CHEMICAL CORP.,Chemische Fabrik Von Heyden of Germany,"Vol 1, p. 894","Incorporated under New York laws in 1919 as a consolidation of Heyden Chemical Co. of America, Inc. (incorporated May 10, 1916 in New York) and Heyden Chem. Fabrik von Heyden of Germany. Manufactures chemicals for medicinal and industrial uses. Plants located at Garfield and Perth Amboy, N. J. In 1926 acquired the assets, business, etc. of Norvell Chemical Corp. for $125,000 in cash and 8,000 preferred shares of Heyden Chemical Corp. American Plastics Corp., New York, formed during 1931 as a consolidation of Erinold Co. of America (subsidiary of Borden Co.), Karolitch Corp. and Pamplasties Corp. (subsidiary of Heyden Chemical Corp.), is an affiliated company. Number of employees, April 15, 1933, 200."
"Royal Schreihmaschinen, G.m.b.H.","Royal Typewriter Company, Inc.",USC,GmbH,"ROYAL TYPEWRITER COMPANY, INC.","Royal Schreibmaschinen G. m. b. H., of Berlin","Vol 1, p. 908","1. Accumulated dividends on preferred stock, totaled $827,765 on Dec. 31, 1933. 2. Accounts certified by A. H. Whan & Co. 3. Sundry guarantees covering overdrafts and discount facilities, etc., of foreign subsidiaries at rate of exchange Dec. 31, 1933, $550,856."
Magnesium Development Co.,Aluminum Company of America,USC,Others,ALUMINUM COMPANY OF AMERICA,Magnesium Development Co.; I. G. Farbenindustrie A. G. of Germany,"Vol 1, p. 922",According to 1933 annual report sales for that year were approximately 25% greater than in 1932.
,Signode Steel Strapping Co.,USO,Others,SIGNODE STEEL STRAPPING CO.,,"Vol 1, p. 1088","(1) The item ""Customers' Deposits for Tool Services"" amounting to $119,741 in 1933
—represents the total amount payable to customers, ahead of all tools and machines loaned to the trade be returned for cash credit. Of this sum, approximately $166,000 is applicable to tools the return of which would call for payment by the company. Only $2 each which is the estimated average value to the company of each tool be-cause of its reusable parts. Over $8,000 of the remaining $16,741 is payable only upon the return of automatic wire tying machines. In spite of bad business conditions of the last few years, no such machine has ever been returned to the company for refund. (2) Accounts certified by Touche, Niven & Co."
Intertype Setzmaschinen G.m.b.H.,Intertype Corporation,USO,GmbH,INTERTYPE CORPORATION,Intertype Setzmachinen G.m.b.H.,"Vol 1, p. 1126","Incorporated February 1, 1916, as a reorganization of International Typesetting Machine Co. Manufactures and sells line-casting machines and appliances. Intertype (typesetting) machines are manufactured at Furman St. plant, Brooklyn N. Y. operated under lease expiring Jan. 31, 1939 (with option of renewal for five years). Plant contains about 210,000 sq. ft. of floor space. Also maintains selling branches in Chicago, San Francisco, Boston, and Berlin, Germany. Owns entire capital stock of Intertype, Ltd. (London); Intertype Fabric G. m. b. H. (Germany); Intertype Realty Corp.; Intertype Income Machinery Co., Inc."
Intertype Fabrik G.m.b.H.,Intertype Corporation,USO,GmbH,INTERTYPE CORPORATION,Intertype Fabric G. m. b. H. (Germany),"Vol 1, p. 1126","Incorporated February 1, 1916, as a reorganization of International Typesetting Machine Co. Manufactures and sells line-casting machines and appliances. Intertype (typesetting) machines are manufactured at Furman St. plant, Brooklyn N. Y. operated under lease expiring Jan. 31, 1939 (with option of renewal for five years). Plant contains about 210,000 sq. ft. of floor space. Also maintains selling branches in Chicago, San Francisco, Boston, and Berlin, Germany. Owns entire capital stock of Intertype, Ltd. (London); Intertype Fabric G. m. b. H. (Germany); Intertype Realty Corp.; Intertype Income Machinery Co., Inc."
"International Harvester Company, m.b.H.",International Harvester Company,USO,GmbH,INTERNATIONAL HARVESTER COMPANY,International Harvester G. m. b. H. (Germany),"Vol 1, p. 1132","Incorporated Sept. 19, 1918, in New Jersey, as a consolidation of the International Harvester Co. of New Jersey and the International Harvester Corporation. The company acquired all property rights, franchises, etc., of the two old companies, and assumed all their debts, liabilities and duties. Its charter is perpetual. The company is engaged in the manufacture and sale in the United States and in foreign countries, of agricultural machinery, tools and implements of all kinds (including harvester-threshers, grain binders, corn binders, reapers, headers, mowers, hay presses, manure spreaders, tillage implements, plows, cream separators, milking machines, etc.), and binder twine, gasoline and oil engines, farm and industrial tractors, and motor trucks."
"Moto Meter Gesellschaft, m. b. H.",Moto Meter Gauge & Equipment Corp.,USO,GmbH,Moto Meter Gauge & Equipment Corp.,Moto Meter Gesellschaft m. b. H.,"Vol 1, p. 1147","Moto Meter Gauge & Equipment Corp. owns 51% of the capital stock of Moto Meter Gesellschaft m. b. H., Germany. The company manufactures and sells gauges, meters, instruments, appliances and accessories for measuring and controlling temperature, speed, pressure, distance, etc. used in connection with automobiles, aircraft, motors and machinery of all kinds."
Reece Machinery Company,The International Button Hole Sewing Machine Company,USC,GmbH,International Button-Hole Sewing Machine Co.,Reece Machinery Co. G.M.B.H.,"Vol 1, p. 1184","Incorporated in Maine, May 13, 1882. Owns foreign patents for Reece button-hole machinery, with agencies in Italy, Australia, New Zealand, Cuba, South America, Japan and South Africa. Also represented in England by Reece Machinery Co., Ltd.; in France by Reece Machinery Co. (France); and in Canada by Reece Machinery Co. of Canada, Ltd. Entire capital stock of these companies is owned by the company. During latter part of 1931 company became exclusive agents in all countries other than Canada and the United States for the entire line of Union Button Sewing Machines. Capital Stock: Authorized and outstanding 50,000 shares ($500,000) par $10. Dividend history from 1905 to 1934 is detailed, with varying rates per annum."
Maschinenfabrik Augsburg Nurnberg A. G. of Germany,New York Shipbuilding Corporation,USC,AG,NEW YORK SHIPBUILDING CORPORATION,Maschinenfabrik Augsburg Nurnberg A. C. of Germany,"Vol 1, p. 1203",
"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany",Crown Cork International Corporation,USO,GmbH,CROWN CORK INTERNATIONAL CORPORATION,"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany","Vol 1, p. 1207","Note: Accounts certified by Lybrand, Ross Bros. & Montgomery. CONTINGENT LIABILITIES as of Dec. 31, 1933: Bills and drafts discounted by subsidiaries, $20,503. Working Capital: 1933, current assets, $3,199,888; current liabilities, $511,487; net current assets, $2,688,401. 1932, current assets, $1,987,555; current liabilities, $488,488; net current assets, $1,499,067. 1931, current assets, $1,910,390; current liabilities, $626,186; net current assets, $1,284,204. Capital Stock: 1. Crown Cork International Corp. $1 cum. participating no par. Authorized—400,000 shares; outstanding, 359,000 shares; of stock are identical. Other Provisions—In all other respects, the two classes of stock are identical. Dividends Paid—Initial dividend of 25 cents per share paid July 1, 1929; 25 cents paid quarterly thereafter to Apr. 1, 1931, incl.; none thereafter to Nov. 1, 1932, when 50 cents was paid; Mar. 20, 1934 (to stock of record Mar. 5), 50 cents. Listed—On Boston Stock Exchange and traded in on New York Curb Exchange. Transfer Agents—City Bank Farmers Trust Co., New York and National Shawmut Bank, Boston. Number of class A stockholders April 16, 1934, 3,500. Preferred—Has preference as to cumulative dividends of $1 per share and participates in any further distribution equally, share for share, with class B stock after latter has received non-cumulative dividends of $1 per share per annum. In liquidation, after payment of all accrued and unpaid accumulated dividends on class A stock and dividends declared, but not heretofore paid on class A and class B stock, all remaining assets shall be distributed equally, share for share, between class A and class B stock. Voting Power—Entitled to elect one-third of directors."
,St. Andrews Bay Lumber Co.,Others,Others,ST. ANDREWS BAY LUMBER CO.,,"Vol 1, p. 1213","ST. ANDREWS BAY LUMBER CO. was incorporated in May 1919 to operate property formerly owned by the German-American Lumber Co., which was incorporated July 18, 1901, in Florida. The German-American Lumber Co. had outstanding bonds, mortgages, and German held indebtedness. On March 10, 1919, the Alien Property Custodian seized its entire capital stock and sold the property at public auction, which was then acquired by ST. ANDREWS BAY LUMBER CO."
,German-American Tobacco Co.,Others,Others,German-American Tobacco Co.,,"Vol 1, p. 1244","German-American Tobacco Co. was incorporated May 20, 1931, under laws of Delaware for the manufacture and sale of cigarettes and tobacco products in Germany. The company had not commenced operations by Feb. 1, 1934. It was organized under the auspices of and is solely owned by The Standard Commercial Tobacco Co., Inc. Its officers include Ery Kehaya (President) and Dean Alfange (Secretary and Treasurer), with an office at 100 East 42nd St., New York City. Capital stock is authorized at $10,000,000 of $10 par preferred and 3,000,000 no par common shares, with stock control held by Standard Commercial Tobacco Co., Inc."
The Goodyear Tire & Rubber Co. Aktiengesellschaft,The Goodyear Tire & Rubber Company,USO,AG,THE GOODYEAR TIRE & RUBBER COMPANY,Goodyear Tire & Rubber Co. A.G. (Germany),"Vol 1, p. 1278","Originally organized in Ohio Aug. 29, 1898; reorganized May 11, 1921. Engaged in the manufacture and sale of automobile, truck, motorcycle and airplane tires and tubes, rubber parts, and airships. The company is not a 'holding company' in the usual sense. It distributes products globally and owns rubber plantations in Sumatra and Philippine Islands, and cotton lands in Arizona. Key plants are in Akron (Ohio), Toronto (Canada), Bowmansville (Canada), Gadsden (Ala.), Wolverhampton (Eng.), Buenos Aires (Argentina), and Sydney (Australia). In 1924, acquired exclusive rights to manufacture Zeppelins in America under German patents. In 1932, acquired rights to make rubber tires for railway cars under Michelin patents. As of Dec. 31, 1933, it employed 38,500 people (including subsidiaries)."
,S O. Realizatio Co. Inc.,USO,Others,S. O. REALIZATION CO. INCORPORATED,,"Vol 1, p. 1306","Incorporated Aug. 29, 1913 under Delaware laws, as S. Oppenheimer & Co., name changed as above in Dec., 1932. Business established in 1868. Engaged in processing and dealing in casings, and manufacture of ligatures, tennis gut, musical instrument strings. Raw material obtained in chief markets of world. Products sold in all domestic and foreign centers. Branches located in Chicago, Hamburg and Wellington (New Zealand). London and Hamburg branches operated as subsidiaries. Number of employees, Dec. 31, 1931, 200. A certificate of dissolution was filed with Secretary of State of Delaware during Jan., 1933. Capital Stock: 8% cum. preferred, Authorized $750,000; outstanding $621,800; in treasury, Dec. 31, 1932, $128,400; par $100. Has preference as to assets and dividends. In liquidation entitled to 110 and dividends. Callable at any time on 30 days' notice at 110 as a whole or in amounts of 500 shares or more, or in part, for sinking fund. Annual sinking fund provides for retirement of 250 shares annually. Has no voting power unless four quarterly dividends are in arrears, when it has exclusive voting power. Dividends cannot be paid on common unless surplus and net profits are in excess of two years preferred dividend requirements and would not be reduced below that amount by such payment. Consent of two-thirds of preferred is necessary to create a mortgage, to increase preferred or create issue ranking prior to or equally with this issue, to dissolve the company or to sell or lease its assets. Initial dividends by former company of 2% paid Aug. 1, 1925 and quarterly thereafter to Feb. 1, 1930, incl.; none thereafter. Initial liquidating dividend by present company of $20 per share paid June 28, 1933 to holders of record June 24, 1933; Oct. 30, 1933, $5.50; May 1, 1934, $5.50."
Allgemeine Elektricitäts-Gesellschaft,Tobe Deutschmann Corp.,USC,AG,TOBE DEUTSCHMANN CORP.,Allgemeine Elektricitäts-Gesellschaft (General Electric Co. of Germany),"Vol 1, p. 1369","Incorporated in Delaware, Jan. 11, 1929, as successor to Tobe Deutschmann Co. (Mass.), which began business in Aug., 1925. It acts as the American representative of the Condenser Division (Hydra Works) of the Allgemeine Elektricitäts-Gesellschaft (General Electric Co. of Germany). The company is engaged in the design, manufacture, and import of electric apparatus, marketing condensers under trademarks such as ""Tobe B Blocks"", ""Veritas"", ""Tirons"", ""A Condensers"", ""A Filters"", and ""Filterettes"". Its plant is located at Canton, Mass., consisting of nine brick buildings on 200,000 sq. ft. The firm maintains branches in various US cities (New York, Atlanta, Chicago, Cleveland, Dallas, Denver, Los Angeles, Philadelphia, Portland, Ore.) and international locations (San Francisco; London, Eng.; Tokyo, Japan, and Tientsin, China)."
Blaw-Knox,Blaw-Knox Co.,USC,GmbH,Blaw-Knox Co.,"Blaw-Knox G.m.b.H., Dusseldorf, Germany","Vol 1, p. 1371","Incorporated in New Jersey on March 6, 1906, as Blaw-Collapsible Steel Centering Co., adopting the current name in 1917 after merging with Knox Pressed & Welded Steel Co. The company manufactures steel products for road building, general construction, oil and gas, and public utility plants. Main plants are in Blawnox, Pa. (86.4 acres, 477,580 sq. ft. total floor area) and Baltimore (1.96 acres, 49,754 sq. ft. floor space). Key acquisitions include Milliken Brothers Mfg. Co. (1927), Andrews-Bradshaw Co. (1928), A. W. French & Co. (1929), Union Steel Casting Co., Lewis Foundry & Machine Co., Pittsburgh Rolls Corp., and National Alloy Steel Co. (1929). In 1930, acquired ""Ateco"" line manufacturing rights. In 1932, formed Blaw-Knox & Western Pipe Corp. for Pacific Coast operations. In 1933, Tower Builders, Inc. was incorporated for steel transmission towers, jointly owned by Consolidated Steel and Blaw-Knox & Western Pipe Corp. Employees as of April 1, 1933, numbered 1,660."
,Burroughs Adding Machine Company,USO,Others,Burroughs Adding Machine Company,,"Vol 1, p. 1529","Incorporated in Michigan, Jan. 16, 1905, successor to American Arithmometer Co., incorporated in Missouri, Jan. 20, 1886. Manufactures adding, listing, bookkeeping, billing, calculating and cash machines and typewriters. Owns about 450 United States and foreign patents. Acquired Universal Adding Machine Co. (1905), Fine Adding Machine Co. (1908), and Moon-Hopkins Billing Machine Co. (1921). Plant at Detroit, Mich., with capacity of 50,000 machines annually. Service units maintained in about 500 cities in United States and foreign countries. Number of employees, May 5, 1934, 4,784. Controls through ownership of entire capital stock: Burroughs Machines, Ltd. (Windsor, Ont.), Burroughs Adding Machine of Canada, Ltd., Burroughs Adding Machine, Ltd. (London, Eng.), Société Anonyme Burroughs (Paris, France). Other subsidiaries are located in Mexico, Argentina, Cuba, Brazil, Germany, Belgium, Uruguay and Chile. Management includes officers and directors listed. Executive Office: Second Boulevard at Burroughs Ave., Detroit, Mich. 1933 accounts certified by Price, Waterhouse & Co."
"Kayser Textile-Gesellschaft, m. b. H. in Saxony",Julius Kayser & Company,USO,GmbH,Julius Kayser & Company,"Kayser Textil-Gesellschaft, m. b. H. in Saxony","Vol 1, p. 1532","Incorporated under the laws of New York, June 8, 1911, successor to a corporation of the same name incorporated in 1902. Manufactures silk gloves, fabric gloves, silk hosiery, rayon and cotton underwear. Plants located in Brooklyn and Walton, N. Y.; Bangor, Schuylkill Haven, Portland and Allentown, Pa., and Sherbrooke, Que., with total floor space of about 1,000,000 sq. ft. In April, 1922, the Walton and Owego, Oneonta, and Cohleskill plants were abandoned during 1924, and those at Sidney and Hornell, N. Y., in 1927. On May 1, 1929, acquired controlling interest in General Hosiery Motor Mend Corp. (name changed from Kayser Hosiery Motor-Mend Corp. in 1932), owners of Vanitas system of hosiery mending. Original output of various manufactures (in dozens): 1925, 1,271,000; 1926, 1,689,957; 1927, 2,020,730; 1928, 2,178,425; 1929, 2,099,778; 1930, 2,014,286; 1931, 1,968,999; 1932, 1,449,662; 1933, 1,368,687. Number of employees, April 18, 1934, 5,000."
Robert Bosch A.G.,United American Bosch Corporation,USC,AG,United American Bosch Corporation,"Robert Bosch, A. G.","Vol 1, p. 1682","Incorporated Jan. 9, 1919, in New York as American Bosch Magneto Corp., later renamed. Operates plants in Springfield and Chicopee, Mass. The firm manufactures and distributes automotive equipment, magnetos, radio sets, and other products. It controls Chicopee Realty Corp. and Easer Radio Corp. The company has a direct agreement to distribute products manufactured by Robert Bosch A.G., Stuttgart, Germany. In December 1930, it acquired assets of Robert Bosch Magneto Co., Inc., the former US/Canadian distributor of Robert Bosch A.G. In December 1933, it acquired the Kompak Co. (gas water heating appliances). As of March 22, 1934, it had 1,200 employees."
Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),Chicago Pneumatic Tool Co.,USO,GmbH,CHICAGO PNEUMATIC TOOL COMPANY,Internationale Pressluft & Elektricitäts Gesellschaft m.b.H. (International Compressed Air and Electric Co.),"Vol 1, p. 1689","History: Incorporated under laws of New Jersey, December 28, 1901, as a consolidation of the Boyer Machine Co. of Detroit, Mich.; the Chicago Pneumatic Tool Co. of Illinois, of Chicago and New York; the pneumatic tool department of the Chisholm & Moore Mfg. Co. of Cleveland; the Standard Pneumatic Tool Co. of Chicago and New York; the New York Air Compressor Co.; the last named company controlling the New York Air Compressor Co. of New York. In 1906 the Pneumatic Tool Co. (entire capital stock owned), the International Compressed Air & Electric Co. of Berlin, and the Canadian Pneumatic Tool Co., Ltd., of Montreal. Company also owns the entire capital stock of the Consolidated Pneumatic Tool Co., Ltd., of London. In 1907 the company purchased the plant of the Franklin (Pa.) Machine & Tool Co. In Dec., 1925, company acquired from Motoren Werke, American and Canadian Pneumatic Tool and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany. Acquired Geo. Oldham & Son Co. of Baltimore, from Bartlett Hayward Co. in April, 1926, and properties of Franklin Mfg. Co. at Franklin and Stoneboro, Pa., in July, 1926. Company manufactures air and gas compressors, gas, oil, Diesel and semi-Diesel engines, pneumatic tools, rock drills, electric drills, hoists, air motors, vacuum pumps, etc. Branch offices located in 20 cities in the United States; foreign offices and representatives in 76 cities. Plants of company and subsidiaries are located in Detroit, Mich.; Cleveland, O.; (two) Franklin, Pa.; Montreal, Can.; Fraserburgh, Scotland, and Berlin, Germany. Total number of employees, April 1, 1933, 1,350."
"Berlin-Oberschoeneweide, Germany",Chicago Pneumatic Tool Co.,USO,GmbH,CHICAGO PNEUMATIC TOOL COMPANY,"Berlin-Oberschoeneweide, Germany","Vol 1, p. 1689","History: Incorporated under laws of New Jersey, December 28, 1901, as a consolidation of the Boyer Machine Co. of Detroit, Mich.; the Chicago Pneumatic Tool Co. of Illinois, of Chicago and New York; the pneumatic tool department of the Chisholm & Moore Mfg. Co. of Cleveland; the Standard Pneumatic Tool Co. of Chicago and New York; the New York Air Compressor Co.; the last named company controlling the New York Air Compressor Co. of New York. In 1906 the Pneumatic Tool Co. (entire capital stock owned), the International Compressed Air & Electric Co. of Berlin, and the Canadian Pneumatic Tool Co., Ltd., of Montreal. Company also owns the entire capital stock of the Consolidated Pneumatic Tool Co., Ltd., of London. In 1907 the company purchased the plant of the Franklin (Pa.) Machine & Tool Co. In Dec., 1925, company acquired from Motoren Werke, American and Canadian Pneumatic Tool and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany. Acquired Geo. Oldham & Son Co. of Baltimore, from Bartlett Hayward Co. in April, 1926, and properties of Franklin Mfg. Co. at Franklin and Stoneboro, Pa., in July, 1926. Company manufactures air and gas compressors, gas, oil, Diesel and semi-Diesel engines, pneumatic tools, rock drills, electric drills, hoists, air motors, vacuum pumps, etc. Branch offices located in 20 cities in the United States; foreign offices and representatives in 76 cities. Plants of company and subsidiaries are located in Detroit, Mich.; Cleveland, O.; (two) Franklin, Pa.; Montreal, Can.; Fraserburgh, Scotland, and Berlin, Germany. Total number of employees, April 1, 1933, 1,350."
Pressluftwerkzeug und Maschinenbau AG (Premag),Chicago Pneumatic Tool Co.,USO,AG,CHICAGO PNEUMATIC TOOL COMPANY,"Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)","Vol 1, p. 1689","History: Incorporated under laws of New Jersey, December 28, 1901, as a consolidation of the Boyer Machine Co. of Detroit, Mich.; the Chicago Pneumatic Tool Co. of Illinois, of Chicago and New York; the pneumatic tool department of the Chisholm & Moore Mfg. Co. of Cleveland; the Standard Pneumatic Tool Co. of Chicago and New York; the New York Air Compressor Co.; the last named company controlling the New York Air Compressor Co. of New York. In 1906 the Pneumatic Tool Co. (entire capital stock owned), the International Compressed Air & Electric Co. of Berlin, and the Canadian Pneumatic Tool Co., Ltd., of Montreal. Company also owns the entire capital stock of the Consolidated Pneumatic Tool Co., Ltd., of London. In 1907 the company purchased the plant of the Franklin (Pa.) Machine & Tool Co. In Dec., 1925, company acquired from Motoren Werke, American and Canadian Pneumatic Tool and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany. Acquired Geo. Oldham & Son Co. of Baltimore, from Bartlett Hayward Co. in April, 1926, and properties of Franklin Mfg. Co. at Franklin and Stoneboro, Pa., in July, 1926. Company manufactures air and gas compressors, gas, oil, Diesel and semi-Diesel engines, pneumatic tools, rock drills, electric drills, hoists, air motors, vacuum pumps, etc. Branch offices located in 20 cities in the United States; foreign offices and representatives in 76 cities. Plants of company and subsidiaries are located in Detroit, Mich.; Cleveland, O.; (two) Franklin, Pa.; Montreal, Can.; Fraserburgh, Scotland, and Berlin, Germany. Total number of employees, April 1, 1933, 1,350."
Hoffman Bugelmaschinen Gesellschaft m.b.H.,United States Hoffman Machinery Corporation,USO,GmbH,UNITED STATES HOFFMAN MACHINERY CORPORATION,"Hoffman Bugelmaschinen Gesellschaft, berlin","Vol 1, p. 1731","Incorporated in Delaware on Jan. 19, 1923, for manufacturing and dealing in machinery suitable for pressing or cleaning clothing. Its plant in Syracuse, N.Y., has a monthly capacity of 1,500 pressing machines. Other wholly-owned subsidiaries include Canadian Hoffman Machinery Co., Ltd. (Toronto), Hoffman Pressing Machine Corp. (Baltimore, Md.), Mexican Hoffman Machinery Co., S. A. (Mexico City, Mex.), Hoffman Bugelmaschmen Gesellschaft (Vienna, Austria), and Macchine Hoffman S.A.I. (Milan, Italy). The company also acquired Vorelome Corp. in April 1931 and The Amico Co. in June 1933. It has sales offices in the US and 15 foreign countries."
,Remington Rand Inc.,USC,Others,"Remington Rand, Inc.",Torpedo,"Vol 1, p. 1743",
"Deutsche Universal Film, A.G.","Universal Picture Co., Inc.",USO,AG,"UNIVERSAL PICTURES COMPANY, INC.","Deutsche Universal Film, A.G.","Vol 1, p. 1748","After eliminating inter-company film rentals etc.: 1933, $97,717; 1932, $159,411; 1931, $156,085; 1930, $2,813,187; to 1929, $192,992. † Interest on advances to Universal Chain Theatrical Enterprises, Inc. included in net. ** Covering dividends in arrears for year 1925 and 1926. ‡ Before crediting $185,653 excess of par value of first preferred retired during year over cost thereof. Before crediting $50,326 excess of par value of first preferred retired during year over cost thereof. Note: Provision for amortization and depreciation of fixed assets during years charged as follows: Film production costs: 1933, $369,305; 1932, $263,439; theatre expenses: 1933, $115,114; 1932, $173,706; selling, branch, general and administrative expenses: 1933, $96,284; 1932, $98,945."
Palmolive-Binder & Ketals G.m.b.H.,Colgate-Palmolive-Peet Co.,USO,GmbH,COLGATE-PALMOLIVE-PEET COMPANY,"Palmolive, Binder & Ketels","Vol 1, p. 1755","The firm, a consolidation of Colgate & Co. and The Palmolive-Peet Co., manufactures toilet, laundry, household, and textile soaps, shaving soaps and creams, tale powders, perfumes, other toilet preparations, dentifrices, and glycerine. Principal products include Colgate's Rapid Shave Cream, Palmolive Shave Cream, Colgate's Ribbon Dental Cream, Colgate Laundry Soap, Crystal White Soap, Palmolive Complexion Soap, Super-Suds, Palmolive Beads, Cashmere Bouquet Toilet Soap, and Kirkman's Soap Products. It operates five manufacturing plants in the United States and owns plants through subsidiaries in Toronto, Mexico City, Sydney, Havana, London, Hamburg (Germany), and Paris. The company also has selling subsidiaries in Argentina, Belgium, Denmark, Holland, South Africa, Sweden, Switzerland, Italy, and Poland. In May 1931, it acquired Omega Chemical Co. of New York, including a controlling interest in Omega Ltd. of London and Société Cadum of Paris and Brussels. In the first quarter of 1933, negotiations were concluded for the purchase of an important manufacturer of soap products, with the new company to be known as Palmolive, Binder & Ketels."
L. C. Smith & Corona Schreihmaschinen G.m.b.H.,L. C. Smith & Corona Typewriters Inc.,USO,GmbH,"SMITH (L. C.) & CORONA TYPEWRITERS, INC.","L. C. Smith & Corona Schreibmaschinen G.m.b.H., Berlin, Germany","Vol 1, p. 1785","As of Dec. 31, 1933 company was obligated under a lease covering entire eighteenth floor at 21 Madison Ave., New York City, which practices are no longer used by company, this liability is not reflected by Hudson & Crampton. Sinking fund payment of $85,670 to trustee at Nov. 1, 1934 required for retirement of bonds. Accounts certified by Burham & Crampton. As of Dec. 31, 1933, there were outstanding $33,500 (not including $15,500 in treasury pledged), first mortgage 7% gold bonds of the Miller-Bryant-Pierce Co., due serially April 1, 1935 to 1938."
Francotype-Gesellschaft of Berlin,Pitney-Bowes Postage Meter Co.,USC,GmbH,PITNEY-BOWES POSTAGE METER CO.,Francotype-Gesellschaft of Berlin,"Vol 1, p. 1812","Before deducting $33,945 foreign subsidiary prior years losses and adjustment of exchange values of net current assets and accrued prior years and before deducting $2,184 provision for decrease in exchange value of net current assets of foreign subsidiary. In 1931, the company acquired a 50% interest in Francotype-Gesellschaft of Berlin, a German company, for $100,000. The company's investment in Francotype-Gesellschaft of Berlin is carried at cost, less depreciation and rental contracts at present value on basis of average five-year service life—estimated at $1,361,182. Balance, Dec. 31, 1933, nil."
Kodak Gesellschaft m. b. H.,Eastman Kodak Company,USO,GmbH,Eastman Kodak Company,Kodak Gesellschaft m. b. H.,"Vol 1, p. 1840","Eastman Kodak Company was incorporated in New Jersey in 1901, succeeding a business established in 1880. At its inception, it acquired Kodak Gesellschaft m. b. H. In 1928, it formed Recordak Corp. and purchased the camera works of Dr. August Nagel in Stuttgart, which became a branch of Kodak Aktiengesellschaft, Berlin. The company operates 13 plants globally, with two in Germany. German operations manufacture chemicals and film for motion picture, amateur, professional, and x-ray use for Germany and other parts of Europe. The Nagel factory in Stuttgart also produces Continental Kodaks and other amateur cameras. As of December 30, 1933, the company had 28,300 employees and maintained 12 establishments in Europe as part of its global sales distribution."
Kodak Aktiengesellschaft,Eastman Kodak Company,USO,AG,Eastman Kodak Company,Kodak Aktiengesellschaft,"Vol 1, p. 1840","Eastman Kodak Company was incorporated in New Jersey in 1901, succeeding a business established in 1880. At its inception, it acquired Kodak Gesellschaft m. b. H. In 1928, it formed Recordak Corp. and purchased the camera works of Dr. August Nagel in Stuttgart, which became a branch of Kodak Aktiengesellschaft, Berlin. The company operates 13 plants globally, with two in Germany. German operations manufacture chemicals and film for motion picture, amateur, professional, and x-ray use for Germany and other parts of Europe. The Nagel factory in Stuttgart also produces Continental Kodaks and other amateur cameras. As of December 30, 1933, the company had 28,300 employees and maintained 12 establishments in Europe as part of its global sales distribution."
Chemische Werke Odin (Germany),Eastman Kodak Company,USO,GmbH,Eastman Kodak Company,Chemische Werke Odin (Germany),"Vol 1, p. 1840","Eastman Kodak Company was incorporated in New Jersey in 1901, succeeding a business established in 1880. At its inception, it acquired Kodak Gesellschaft m. b. H. In 1928, it formed Recordak Corp. and purchased the camera works of Dr. August Nagel in Stuttgart, which became a branch of Kodak Aktiengesellschaft, Berlin. The company operates 13 plants globally, with two in Germany. German operations manufacture chemicals and film for motion picture, amateur, professional, and x-ray use for Germany and other parts of Europe. The Nagel factory in Stuttgart also produces Continental Kodaks and other amateur cameras. As of December 30, 1933, the company had 28,300 employees and maintained 12 establishments in Europe as part of its global sales distribution."
