page,block,line,x0,y0,x1,y1,text,keyword,page_right,firm_name,german_subsidiary,notes,US company name,US Company,affiliated German firm name,German subsidiary,reviewed_notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affiliated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement
894,39,6,305.75,474.395,516.675,486.194,procranos of Chemische Fabrik von Hayden of Germany. ,German,894,HEYDEN CHEMICAL CORP.,Heyden Chem. Fabrik von Heyden,"Incorporated under New York laws in 1919 as a consolidation of Heyden Chemical Co. of America, Inc. (incorporated May 10, 1916 in New York) and Heyden Chem. Fabrik von Heyden of Germany. Manufactures chemicals for medicinal and industrial uses. Plants located at Garfield and Perth Amboy, N. J. In 1926 acquired the assets, business, etc. of Norvell Chemical Corp. for $125,000 in cash and 8,000 preferred shares of Heyden Chemical Corp. American Plastics Corp., New York, formed during 1931 as a consolidation of Erinold Co. of America (subsidiary of Borden Co.), Karolitch Corp. and Pamplasties Corp. (subsidiary of Heyden Chemical Corp.), is an affiliated company. Number of employees, April 15, 1933, 200.",HEYDEN CHEMICAL CORP.,Heyden Chemical Corp.,Chemische Fabrik Von Heyden of Germany,,"Company has exclusive right in United States and Canada, of all patents, and processes of Chemische Fabril Von Heyden of Germany. -> It's a licensee of the German company",False,False,False,False,False,False,False,True
908,10,10,318.95,199.344,533.475,211.144,RoyaL of Paris; in Germany through the Royal Sduofli- ,German,908,"ROYAL TYPEWRITER COMPANY, INC.","Royal Schreibmaschinen G. m. b. H., of Berlin","1. Accumulated dividends on preferred stock, totaled $827,765 on Dec. 31, 1933. 2. Accounts certified by A. H. Whan & Co. 3. Sundry guarantees covering overdrafts and discount facilities, etc., of foreign subsidiaries at rate of exchange Dec. 31, 1933, $550,856.","ROYAL TYPEWRITER COMPANY, INC.","Royal Typewriter Company, Inc.","Royal Schreibmaschinen G. m. b. H., of Berlin",,"Product is sold... in Germany through the Royal Schreibmaschinen G. m. b. H., of Berlin",False,False,False,False,True,True,False,False
922,8,1,103.45,305.695,527.975,317.494,"On Jan. 21,1932 it was announced that company and the I. G. Farbenindustrie A G. of Germany had formed the ",German,922,ALUMINUM COMPANY OF AMERICA,Magnesium Development Co.,According to 1933 annual report sales for that year were approximately 25% greater than in 1932.,ALUMINUM COMPANY OF AMERICA,Aluminum Company of America,Magnesium Development Co.; I. G. Farbenindustrie A. G. of Germany,,"""On Jan. 21, 1932 it was announced that company and the I. G. farbenindustrie A. G. of Germany had formed the Magnesium Development Co. to take over the patent rights of the two companies applying to the manufacture of magnesium alloys and utilized the technical knowledge and processes by both."" Not sure if Magnesium Development Co. is a German company though",False,False,False,False,False,False,False,True
1088,9,8,78.0,306.006,299.1,316.407,"sidiaries in Belgium, Canada. England, Italy, Germany and ",German,1088,SIGMODE STEEL STRAPPING CO.,Germany,"(1) The item ""Customers' Deposits for Tool Services"" amounting to $119,741 in 1933
—represents the total amount payable to customers, ahead of all tools and machines loaned to the trade be returned for cash credit. Of this sum, approximately $166,000 is applicable to tools the return of which would call for payment by the company. Only $2 each which is the estimated average value to the company of each tool be-cause of its reusable parts. Over $8,000 of the remaining $16,741 is payable only upon the return of automatic wire tying machines. In spite of bad business conditions of the last few years, no such machine has ever been returned to the company for refund. (2) Accounts certified by Touche, Niven & Co.",SIGNODE STEEL STRAPPING CO.,Signode Steel Strapping Co.,,,"In description: ""Has subsidiaries in Belgium, Canada, England, Italy, Germany and Holland.""",True,False,False,False,False,False,False,False
1126,7,2,76.1,257.753,529.5,274.153,"Los Angeles, New Orleans, London, Erig., and Berlin, Germany. Owns entire capital stock of Intertype, Ltd. (London); ",Berlin,1126,INTERTYPE CORPORATION,Intertype Fabric G. m. b. H. (Germany),"Incorporated February 1, 1916, as a reorganization of International Typesetting Machine Co. Manufactures and sells line-casting machines and appliances. Intertype (typesetting) machines are manufactured at Furman St. plant, Brooklyn N. Y. operated under lease expiring Jan. 31, 1939 (with option of renewal for five years). Plant contains about 210,000 sq. ft. of floor space. Also maintains selling branches in Chicago, San Francisco, Boston, and Berlin, Germany. Owns entire capital stock of Intertype, Ltd. (London); Intertype Fabric G. m. b. H. (Germany); Intertype Realty Corp.; Intertype Income Machinery Co., Inc.",INTERTYPE CORPORATION,Intertype Corporation,Intertype Setzmachinen G.m.b.H.,Intertype Setzmaschinen G.m.b.H.,"In description: ""Owns entire capital stock of ...Intertype Setzmachinen G.m.b.H.; Intertype Fabric G. m. b. H. (Germany)""",True,False,False,True,False,False,False,False
1126,7,2,76.1,257.753,529.5,274.153,"Los Angeles, New Orleans, London, Erig., and Berlin, Germany. Owns entire capital stock of Intertype, Ltd. (London); ",Berlin,1126,INTERTYPE CORPORATION,Intertype Fabric G. m. b. H. (Germany),"Incorporated February 1, 1916, as a reorganization of International Typesetting Machine Co. Manufactures and sells line-casting machines and appliances. Intertype (typesetting) machines are manufactured at Furman St. plant, Brooklyn N. Y. operated under lease expiring Jan. 31, 1939 (with option of renewal for five years). Plant contains about 210,000 sq. ft. of floor space. Also maintains selling branches in Chicago, San Francisco, Boston, and Berlin, Germany. Owns entire capital stock of Intertype, Ltd. (London); Intertype Fabric G. m. b. H. (Germany); Intertype Realty Corp.; Intertype Income Machinery Co., Inc.",INTERTYPE CORPORATION,Intertype Corporation,Intertype Fabric G. m. b. H. (Germany),Intertype Fabrik G.m.b.H.,"In description: ""Owns entire capital stock of ...Intertype Setzmachinen G.m.b.H.; Intertype Fabric G. m. b. H. (Germany)""",True,False,False,True,False,False,False,False
1132,93,4,83.3,702.802,247.885,713.801,AkaXitii1 Harvoater Co. m. b. H. (Germany),German,1132,INTERNATIONAL HARVESTER COMPANY,International Harvester G. m. b. H. (Germany),"Incorporated Sept. 19, 1918, in New Jersey, as a consolidation of the International Harvester Co. of New Jersey and the International Harvester Corporation. The company acquired all property rights, franchises, etc., of the two old companies, and assumed all their debts, liabilities and duties. Its charter is perpetual. The company is engaged in the manufacture and sale in the United States and in foreign countries, of agricultural machinery, tools and implements of all kinds (including harvester-threshers, grain binders, corn binders, reapers, headers, mowers, hay presses, manure spreaders, tillage implements, plows, cream separators, milking machines, etc.), and binder twine, gasoline and oil engines, farm and industrial tractors, and motor trucks.",INTERNATIONAL HARVESTER COMPANY,International Harvester Company,International Harvester G. m. b. H. (Germany),"International Harvester Company, m.b.H.","Under the section ""Subsidiaries""",True,False,False,True,False,False,False,False
1147,64,10,303.35,193.922,530.25,211.022,"Moto Meter Gesellschaft, m. b. H7 Germany, In Aug^ ",German,1147,Moto Meter Gauge & Equipment Corp.,Moto Meter Gesellschaft m. b. H.,"Moto Meter Gauge & Equipment Corp. owns 51% of the capital stock of Moto Meter Gesellschaft m. b. H., Germany. The company manufactures and sells gauges, meters, instruments, appliances and accessories for measuring and controlling temperature, speed, pressure, distance, etc. used in connection with automobiles, aircraft, motors and machinery of all kinds.",Moto Meter Gauge & Equipment Corp.,Moto Meter Gauge & Equipment Corp.,Moto Meter Gesellschaft m. b. H.,"Moto Meter Gesellschaft, m. b. H.","Moto Meter Gauge & Equipment Corp. owns 51% of the capital stock of Moto Meter Gesellschaft m. b. H., Germany.",True,False,False,True,False,False,False,False
1184,9,7,76.55,271.889,301.05,284.289,Manhinary Co. (France); in Germany by Reece Machinery ,German,1184,International Button-Hole Sewing Machine Co.,Reece Machinery Co. G.M.B.H.,"Incorporated in Maine, May 13, 1882. Owns foreign patents for Reece button-hole machinery, with agencies in Italy, Australia, New Zealand, Cuba, South America, Japan and South Africa. Also represented in England by Reece Machinery Co., Ltd.; in France by Reece Machinery Co. (France); and in Canada by Reece Machinery Co. of Canada, Ltd. Entire capital stock of these companies is owned by the company. During latter part of 1931 company became exclusive agents in all countries other than Canada and the United States for the entire line of Union Button Sewing Machines. Capital Stock: Authorized and outstanding 50,000 shares ($500,000) par $10. Dividend history from 1905 to 1934 is detailed, with varying rates per annum.",International Button-Hole Sewing Machine Co.,The International Button Hole Sewing Machine Company,Reece Machinery Co. G.M.B.H.,,"""represented in Germany by Reece Maschinery Co. G.M.B.H.""",False,False,False,False,False,False,False,True
1203,42,7,70.3,401.693,522.8,413.494,pleted licose agreement with Maachmenfabrik Augsburg Nurnberg A. C. of Germany for latter company's Diced engine ,German,,,,,NEW YORK SHIPBUILDING CORPORATION,New York Shipbuilding Corporation,Maschinenfabrik Augsburg Nurnberg A. C. of Germany,,"""In March 1927, company completed license agreement with Maschinenfabrik Augsburg Nurnberg A. C. of Germany of latter company's Diesel engine development for railway traction purposes.""",False,False,False,False,False,False,False,True
1207,10,8,64.3,184.739,520.9,197.139,"Co-Gjn.b£., Frankenthal, Germany; Société du Bouchon Couronne, of Paris, France; Crown Cork Co. (Holland), N.V., ",German,1207,CROWN CORK INTERNATIONAL CORPORATION,"Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany","Note: Accounts certified by Lybrand, Ross Bros. & Montgomery. CONTINGENT LIABILITIES as of Dec. 31, 1933: Bills and drafts discounted by subsidiaries, $20,503. Working Capital: 1933, current assets, $3,199,888; current liabilities, $511,487; net current assets, $2,688,401. 1932, current assets, $1,987,555; current liabilities, $488,488; net current assets, $1,499,067. 1931, current assets, $1,910,390; current liabilities, $626,186; net current assets, $1,284,204. Capital Stock: 1. Crown Cork International Corp. $1 cum. participating no par. Authorized—400,000 shares; outstanding, 359,000 shares; of stock are identical. Other Provisions—In all other respects, the two classes of stock are identical. Dividends Paid—Initial dividend of 25 cents per share paid July 1, 1929; 25 cents paid quarterly thereafter to Apr. 1, 1931, incl.; none thereafter to Nov. 1, 1932, when 50 cents was paid; Mar. 20, 1934 (to stock of record Mar. 5), 50 cents. Listed—On Boston Stock Exchange and traded in on New York Curb Exchange. Transfer Agents—City Bank Farmers Trust Co., New York and National Shawmut Bank, Boston. Number of class A stockholders April 16, 1934, 3,500. Preferred—Has preference as to cumulative dividends of $1 per share and participates in any further distribution equally, share for share, with class B stock after latter has received non-cumulative dividends of $1 per share per annum. In liquidation, after payment of all accrued and unpaid accumulated dividends on class A stock and dividends declared, but not heretofore paid on class A and class B stock, all remaining assets shall be distributed equally, share for share, between class A and class B stock. Voting Power—Entitled to elect one-third of directors.",CROWN CORK INTERNATIONAL CORPORATION,Crown Cork International Corporation,"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany","Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany","Corporation owns directly or through subsidiaries a controlling interest in following companies: ... Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany",True,False,False,True,False,False,False,False
1213,39,3,296.15,425.078,523.3,435.78,"erty formerly owned by the German-American Lumber Co, ",German,1213,ST. ANDREWS BAY LUMBER CO.,German-American Lumber Co.,"ST. ANDREWS BAY LUMBER CO. was incorporated in May 1919 to operate property formerly owned by the German-American Lumber Co., which was incorporated July 18, 1901, in Florida. The German-American Lumber Co. had outstanding bonds, mortgages, and German held indebtedness. On March 10, 1919, the Alien Property Custodian seized its entire capital stock and sold the property at public auction, which was then acquired by ST. ANDREWS BAY LUMBER CO.",ST. ANDREWS BAY LUMBER CO.,St. Andrews Bay Lumber Co.,,,was incorporated in May 1919 to operate property formerly owned by the German-American Lumber Co.,False,False,False,False,False,False,False,False
1244,17,3,311.5,88.828,509.1,99.529,"sale of cigarettes and tobacco products in Germany, ",German,1244,"Standard Commercial Tobacco Co., Inc.",German-American Tobacco Co.,"German-American Tobacco Co. was incorporated May 20, 1931, under laws of Delaware for the manufacture and sale of cigarettes and tobacco products in Germany. The company had not commenced operations by Feb. 1, 1934. It was organized under the auspices of and is solely owned by The Standard Commercial Tobacco Co., Inc. Its officers include Ery Kehaya (President) and Dean Alfange (Secretary and Treasurer), with an office at 100 East 42nd St., New York City. Capital stock is authorized at $10,000,000 of $10 par preferred and 3,000,000 no par common shares, with stock control held by Standard Commercial Tobacco Co., Inc.",German-American Tobacco Co.,German-American Tobacco Co.,,,"German-American Tobacco Co. was incorporated May 20, 1931, under laws of Delaware for the manufacture and sale of cigarettes and tobacco products in Germany. ",False,False,False,False,False,False,False,False
1278,7,1,88.3,324.506,493.195,334.907,In 1924 company acquired exclusive rights to manufacture Zeppelins in America under the German patents.,German,1278,THE GOODYEAR TIRE & RUBBER COMPANY,Goodyear Tire & Rubber Co. A.G. (Germany),"Originally organized in Ohio Aug. 29, 1898; reorganized May 11, 1921. Engaged in the manufacture and sale of automobile, truck, motorcycle and airplane tires and tubes, rubber parts, and airships. The company is not a 'holding company' in the usual sense. It distributes products globally and owns rubber plantations in Sumatra and Philippine Islands, and cotton lands in Arizona. Key plants are in Akron (Ohio), Toronto (Canada), Bowmansville (Canada), Gadsden (Ala.), Wolverhampton (Eng.), Buenos Aires (Argentina), and Sydney (Australia). In 1924, acquired exclusive rights to manufacture Zeppelins in America under German patents. In 1932, acquired rights to make rubber tires for railway cars under Michelin patents. As of Dec. 31, 1933, it employed 38,500 people (including subsidiaries).",THE GOODYEAR TIRE & RUBBER COMPANY,The Goodyear Tire & Rubber Company,Goodyear Tire & Rubber Co. A.G. (Germany),,"Under section ""Subsidiaries"". In description: ""In 1924 company acquired exclusive rights to manufacture Zeppelins in America under the German patents. """,True,False,True,False,False,False,False,True
1306,19,10,70.55,360.57,293.35,377.87,"foreign centers. Branches located in Chicago, Hamburg ",Hamburg,1306,S. O. REALIZATION CO. INCORPORATED,Hamburg,"Incorporated Aug. 29, 1913 under Delaware laws, as S. Oppenheimer & Co., name changed as above in Dec., 1932. Business established in 1868. Engaged in processing and dealing in casings, and manufacture of ligatures, tennis gut, musical instrument strings. Raw material obtained in chief markets of world. Products sold in all domestic and foreign centers. Branches located in Chicago, Hamburg and Wellington (New Zealand). London and Hamburg branches operated as subsidiaries. Number of employees, Dec. 31, 1931, 200. A certificate of dissolution was filed with Secretary of State of Delaware during Jan., 1933. Capital Stock: 8% cum. preferred, Authorized $750,000; outstanding $621,800; in treasury, Dec. 31, 1932, $128,400; par $100. Has preference as to assets and dividends. In liquidation entitled to 110 and dividends. Callable at any time on 30 days' notice at 110 as a whole or in amounts of 500 shares or more, or in part, for sinking fund. Annual sinking fund provides for retirement of 250 shares annually. Has no voting power unless four quarterly dividends are in arrears, when it has exclusive voting power. Dividends cannot be paid on common unless surplus and net profits are in excess of two years preferred dividend requirements and would not be reduced below that amount by such payment. Consent of two-thirds of preferred is necessary to create a mortgage, to increase preferred or create issue ranking prior to or equally with this issue, to dissolve the company or to sell or lease its assets. Initial dividends by former company of 2% paid Aug. 1, 1925 and quarterly thereafter to Feb. 1, 1930, incl.; none thereafter. Initial liquidating dividend by present company of $20 per share paid June 28, 1933 to holders of record June 24, 1933; Oct. 30, 1933, $5.50; May 1, 1934, $5.50.",S. O. REALIZATION CO. INCORPORATED,S O. Realizatio Co. Inc.,,,"Not sure if Hamburg is in Germany. Branches located in Chicago, Hamburg and Wellington (New Zealand). London and Hamburg branches operated subsidiaries.",True,False,False,False,False,True,False,False
1369,13,2,64.8,486.889,285.2,499.289,"aware. Jan. 11, 1929, as successor to Tobe Deutschmann ",Deutsch,1369,TOBE DEUTSCHMANN CORP.,Allgemeine Elektricitäts-Gesellschaft (Hydra Works) of the Allgemeine Elektricitäts-Gesellschaft (General Electric Co. of Germany),"Incorporated in Delaware, Jan. 11, 1929, as successor to Tobe Deutschmann Co. (Mass.), which began business in Aug., 1925. It acts as the American representative of the Condenser Division (Hydra Works) of the Allgemeine Elektricitäts-Gesellschaft (General Electric Co. of Germany). The company is engaged in the design, manufacture, and import of electric apparatus, marketing condensers under trademarks such as ""Tobe B Blocks"", ""Veritas"", ""Tirons"", ""A Condensers"", ""A Filters"", and ""Filterettes"". Its plant is located at Canton, Mass., consisting of nine brick buildings on 200,000 sq. ft. The firm maintains branches in various US cities (New York, Atlanta, Chicago, Cleveland, Dallas, Denver, Los Angeles, Philadelphia, Portland, Ore.) and international locations (San Francisco; London, Eng.; Tokyo, Japan, and Tientsin, China).",TOBE DEUTSCHMANN CORP.,Tobe Deutschmann Corp.,Allgemeine Elektricitäts-Gesellschaft (General Electric Co. of Germany),,"Incorporated in Delaware, Jan. 11, 1929, as successor to Tobe Deutschmann Co. (Mass.), which began business in Aug., 1925. It acts as the American representative of the Condenser Division (Hydra Works) of the Allgemeine Elektricitäts-Gesellschaft (General Electric Co. of Germany), and which it still represents.",False,False,False,False,False,False,False,True
1371,48,15,298.3,235.198,522.55,246.598,"dorf, Germany. On Jan. 19,1928, merged Andrews-Bradshaw ",German,1371,Blaw-Knox Co.,"Blaw-Knox G.m.b.H., Dusseldorf, Germany","Incorporated in New Jersey on March 6, 1906, as Blaw-Collapsible Steel Centering Co., adopting the current name in 1917 after merging with Knox Pressed & Welded Steel Co. The company manufactures steel products for road building, general construction, oil and gas, and public utility plants. Main plants are in Blawnox, Pa. (86.4 acres, 477,580 sq. ft. total floor area) and Baltimore (1.96 acres, 49,754 sq. ft. floor space). Key acquisitions include Milliken Brothers Mfg. Co. (1927), Andrews-Bradshaw Co. (1928), A. W. French & Co. (1929), Union Steel Casting Co., Lewis Foundry & Machine Co., Pittsburgh Rolls Corp., and National Alloy Steel Co. (1929). In 1930, acquired ""Ateco"" line manufacturing rights. In 1932, formed Blaw-Knox & Western Pipe Corp. for Pacific Coast operations. In 1933, Tower Builders, Inc. was incorporated for steel transmission towers, jointly owned by Consolidated Steel and Blaw-Knox & Western Pipe Corp. Employees as of April 1, 1933, numbered 1,660.",Blaw-Knox Co.,Blaw-Knox Co.,"Blaw-Knox G.m.b.H., Dusseldorf, Germany",,"Company is affiliated with Blaw-Knox, Ltd., Cowan Hulbert, Ltd., and Millken Bros., Ltd., London, Eng., Compangie Francaise Blaw-Knox, Paris, France and Balw-Knox G.m.b.H., Dusseldorf, Germany.",False,False,False,False,True,True,False,False
1529,3,6,203.3,162.221,469.415,173.92,"exico, Argentina, Cuba, Brazil, Germany, Belgium, Uruguay and Chile.",German,1529,Burroughs Adding Machine Company,"No specific names provided, but subsidiaries are located in Germany.","Incorporated in Michigan, Jan. 16, 1905, successor to American Arithmometer Co., incorporated in Missouri, Jan. 20, 1886. Manufactures adding, listing, bookkeeping, billing, calculating and cash machines and typewriters. Owns about 450 United States and foreign patents. Acquired Universal Adding Machine Co. (1905), Fine Adding Machine Co. (1908), and Moon-Hopkins Billing Machine Co. (1921). Plant at Detroit, Mich., with capacity of 50,000 machines annually. Service units maintained in about 500 cities in United States and foreign countries. Number of employees, May 5, 1934, 4,784. Controls through ownership of entire capital stock: Burroughs Machines, Ltd. (Windsor, Ont.), Burroughs Adding Machine of Canada, Ltd., Burroughs Adding Machine, Ltd. (London, Eng.), Société Anonyme Burroughs (Paris, France). Other subsidiaries are located in Mexico, Argentina, Cuba, Brazil, Germany, Belgium, Uruguay and Chile. Management includes officers and directors listed. Executive Office: Second Boulevard at Burroughs Ave., Detroit, Mich. 1933 accounts certified by Price, Waterhouse & Co.",Burroughs Adding Machine Company,Burroughs Adding Machine Company,,,"In section Subsidiaries: ""Other subsidiaries are located in mexico, Argentina, Cuba, Brazil, Germany, Belgium, Uruguay and Chile.""",True,False,False,False,False,False,False,False
1532,22,2,80.4,512.72,526.65,530.02,the export business of the company fa Germany. Company also owns entire 82MMN0 capital stock of Starting SHk ,German,1532,Julius Kayser & Company,"Kayser Textil-Gesellschaft, m. b. H. in Saxony","Incorporated under the laws of New York, June 8, 1911, successor to a corporation of the same name incorporated in 1902. Manufactures silk gloves, fabric gloves, silk hosiery, rayon and cotton underwear. Plants located in Brooklyn and Walton, N. Y.; Bangor, Schuylkill Haven, Portland and Allentown, Pa., and Sherbrooke, Que., with total floor space of about 1,000,000 sq. ft. In April, 1922, the Walton and Owego, Oneonta, and Cohleskill plants were abandoned during 1924, and those at Sidney and Hornell, N. Y., in 1927. On May 1, 1929, acquired controlling interest in General Hosiery Motor Mend Corp. (name changed from Kayser Hosiery Motor-Mend Corp. in 1932), owners of Vanitas system of hosiery mending. Original output of various manufactures (in dozens): 1925, 1,271,000; 1926, 1,689,957; 1927, 2,020,730; 1928, 2,178,425; 1929, 2,099,778; 1930, 2,014,286; 1931, 1,968,999; 1932, 1,449,662; 1933, 1,368,687. Number of employees, April 18, 1934, 5,000.",Julius Kayser & Company,Julius Kayser & Company,"Kayser Textil-Gesellschaft, m. b. H. in Saxony","Kayser Textile-Gesellschaft, m. b. H. in Saxony","In section Subsidiaries: ""In Sept 1922, the company formed the Kayser Textil-Gesellschaft, m. b. H. in Saxony, to handles the export business of the company in Germany""",True,False,False,True,False,False,False,False
1682,32,1,82.1,324.661,515.35,337.361,"Springfield and Chicopee, Mas*. The Bosch Magneto Co. was originally farmed by Robert Bosch in Stuttgart, Germany, ",German,1682,United American Bosch Corporation,None explicitly stated as a subsidiary.,"Incorporated Jan. 9, 1919, in New York as American Bosch Magneto Corp., later renamed. Operates plants in Springfield and Chicopee, Mass. The firm manufactures and distributes automotive equipment, magnetos, radio sets, and other products. It controls Chicopee Realty Corp. and Easer Radio Corp. The company has a direct agreement to distribute products manufactured by Robert Bosch A.G., Stuttgart, Germany. In December 1930, it acquired assets of Robert Bosch Magneto Co., Inc., the former US/Canadian distributor of Robert Bosch A.G. In December 1933, it acquired the Kompak Co. (gas water heating appliances). As of March 22, 1934, it had 1,200 employees.",United American Bosch Corporation,United American Bosch Corporation,"Robert Bosch, A. G.",,"Incorporated Jan. 9, 1919, in New York as American Bosch Magneto Corp., later renamed. The Bosche Magneto Co. was originally formed by Robert Bosch in Stuttgart, germnay, in 1885... In December, 1930, company issued 69,600 shares of stock and warrants representing the rights to purchase 50,000 shares of stock in exchange for substantially all the assets of Robert Bosch Magneto Co., Inc., formerly exclusive distributor in United States and Canada of the products manufactured by Robert Bosch A. G., Stuttgart, Germany. These products are now distributed by the United American Bosch Corp. through direct agreement with Robert Bosch, A. G.",False,False,False,False,False,False,False,True
1689,14,10,78.95,408.997,520.65,423.099,"dian manufacturing and selling rights for Diesel engine, made by M. W. M. Bens, Mannheim, Germany. Acquired Geo. ",German,1689,CHICAGO PNEUMATIC TOOL COMPANY,"International Compressed Air and Electric Co. (Berlin-Oberschoeneweide, Germany), Pneumatic Tool Realty Corp. (New Berlin-Oberschoeneweide, Germany), Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)","History: Incorporated under laws of New Jersey, December 28, 1901, as a consolidation of the Boyer Machine Co. of Detroit, Mich.; the Chicago Pneumatic Tool Co. of Illinois, of Chicago and New York; the pneumatic tool department of the Chisholm & Moore Mfg. Co. of Cleveland; the Standard Pneumatic Tool Co. of Chicago and New York; the New York Air Compressor Co.; the last named company controlling the New York Air Compressor Co. of New York. In 1906 the Pneumatic Tool Co. (entire capital stock owned), the International Compressed Air & Electric Co. of Berlin, and the Canadian Pneumatic Tool Co., Ltd., of Montreal. Company also owns the entire capital stock of the Consolidated Pneumatic Tool Co., Ltd., of London. In 1907 the company purchased the plant of the Franklin (Pa.) Machine & Tool Co. In Dec., 1925, company acquired from Motoren Werke, American and Canadian Pneumatic Tool and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany. Acquired Geo. Oldham & Son Co. of Baltimore, from Bartlett Hayward Co. in April, 1926, and properties of Franklin Mfg. Co. at Franklin and Stoneboro, Pa., in July, 1926. Company manufactures air and gas compressors, gas, oil, Diesel and semi-Diesel engines, pneumatic tools, rock drills, electric drills, hoists, air motors, vacuum pumps, etc. Branch offices located in 20 cities in the United States; foreign offices and representatives in 76 cities. Plants of company and subsidiaries are located in Detroit, Mich.; Cleveland, O.; (two) Franklin, Pa.; Montreal, Can.; Fraserburgh, Scotland, and Berlin, Germany. Total number of employees, April 1, 1933, 1,350.",CHICAGO PNEUMATIC TOOL COMPANY,Chicago Pneumatic Tool Co.,Internationale Pressluft & Elektricitäts Gesellschaft m.b.H. (International Compressed Air and Electric Co.),Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),"In section ""Subsidiary Companies"": ...Internationale Pressluft & Elektricitäts Gesellschaft m.b.H. (International Compressed Air and Electric Co.), Berlin-Oberschoeneweide, Germany, Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)",True,False,False,True,False,False,False,False
1689,14,10,78.95,408.997,520.65,423.099,"dian manufacturing and selling rights for Diesel engine, made by M. W. M. Bens, Mannheim, Germany. Acquired Geo. ",German,1689,CHICAGO PNEUMATIC TOOL COMPANY,"International Compressed Air and Electric Co. (Berlin-Oberschoeneweide, Germany), Pneumatic Tool Realty Corp. (New Berlin-Oberschoeneweide, Germany), Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)","History: Incorporated under laws of New Jersey, December 28, 1901, as a consolidation of the Boyer Machine Co. of Detroit, Mich.; the Chicago Pneumatic Tool Co. of Illinois, of Chicago and New York; the pneumatic tool department of the Chisholm & Moore Mfg. Co. of Cleveland; the Standard Pneumatic Tool Co. of Chicago and New York; the New York Air Compressor Co.; the last named company controlling the New York Air Compressor Co. of New York. In 1906 the Pneumatic Tool Co. (entire capital stock owned), the International Compressed Air & Electric Co. of Berlin, and the Canadian Pneumatic Tool Co., Ltd., of Montreal. Company also owns the entire capital stock of the Consolidated Pneumatic Tool Co., Ltd., of London. In 1907 the company purchased the plant of the Franklin (Pa.) Machine & Tool Co. In Dec., 1925, company acquired from Motoren Werke, American and Canadian Pneumatic Tool and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany. Acquired Geo. Oldham & Son Co. of Baltimore, from Bartlett Hayward Co. in April, 1926, and properties of Franklin Mfg. Co. at Franklin and Stoneboro, Pa., in July, 1926. Company manufactures air and gas compressors, gas, oil, Diesel and semi-Diesel engines, pneumatic tools, rock drills, electric drills, hoists, air motors, vacuum pumps, etc. Branch offices located in 20 cities in the United States; foreign offices and representatives in 76 cities. Plants of company and subsidiaries are located in Detroit, Mich.; Cleveland, O.; (two) Franklin, Pa.; Montreal, Can.; Fraserburgh, Scotland, and Berlin, Germany. Total number of employees, April 1, 1933, 1,350.",CHICAGO PNEUMATIC TOOL COMPANY,Chicago Pneumatic Tool Co.,"Berlin-Oberschoeneweide, Germany","Berlin-Oberschoeneweide, Germany","In section ""Subsidiary Companies"": ...Internationale Pressluft & Elektricitäts Gesellschaft m.b.H. (International Compressed Air and Electric Co.), Berlin-Oberschoeneweide, Germany, Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)",True,False,False,True,False,False,False,False
